Channel,a,b,c
0,1.4468e-09,-1.2963e-05,0.14297
1,1.2834e-09,-1.1714e-05,0.12781
2,1.2533e-09,-1.0898e-05,0.11957
3,1.2009e-09,-7.4181e-06,0.13345
4,4.4725e-10,-6.8756e-06,0.11179
5,-1.1862e-09,1.1524e-05,0.080034
6,1.2562e-09,-8.0501e-06,0.11618
7,1.4496e-09,-1.2368e-05,0.12989
8,1.5465e-09,-1.1382e-05,0.14318
9,-3.165e-25,2.4071e-20,0.155
10,-3.165e-25,2.4071e-20,0.155
16,9.3789e-10,-7.1358e-06,0.10873
17,1.3358e-09,-1.3911e-05,0.11886
18,1.0851e-09,-8.8122e-06,0.11273
19,1.161e-09,-9.0314e-06,0.12401
20,1.0042e-09,-9.435e-06,0.1169
21,1.3476e-09,-1.2823e-05,0.13196
27,-3.165e-25,2.4071e-20,0.155
30,-3.165e-25,2.4071e-20,0.155
42,-3.165e-25,2.4071e-20,0.155
