theta3  E4(MeV)
180  2.0941
174.7557  2.09
172.5812  2.0858
170.9111  2.0816
169.5018  2.0774
168.2591  2.0732
167.1346  2.069
166.0996  2.0648
165.1353  2.0606
164.2288  2.0564
163.3706  2.0523
162.5536  2.0481
161.7722  2.0439
161.0221  2.0397
160.2996  2.0355
159.6019  2.0313
158.9264  2.0271
158.2711  2.0229
157.6342  2.0188
157.0142  2.0146
156.4097  2.0104
155.8197  2.0062
155.2429  2.002
154.6786  1.9978
154.1259  1.9936
153.5841  1.9894
153.0525  1.9853
152.5305  1.9811
152.0176  1.9769
151.5133  1.9727
151.0172  1.9685
150.5288  1.9643
150.0477  1.9601
149.5736  1.9559
149.1062  1.9517
148.6452  1.9476
148.1903  1.9434
147.7412  1.9392
147.2977  1.935
146.8596  1.9308
146.4266  1.9266
145.9986  1.9224
145.5753  1.9182
145.1567  1.9141
144.7424  1.9099
144.3325  1.9057
143.9266  1.9015
143.5248  1.8973
143.1268  1.8931
142.7325  1.8889
142.3418  1.8847
141.9546  1.8805
141.5708  1.8764
141.1903  1.8722
140.813  1.868
140.4388  1.8638
140.0676  1.8596
139.6993  1.8554
139.3338  1.8512
138.9711  1.847
138.6111  1.8429
138.2537  1.8387
137.8989  1.8345
137.5465  1.8303
137.1965  1.8261
136.8489  1.8219
136.5037  1.8177
136.1606  1.8135
135.8198  1.8093
135.481  1.8052
135.1444  1.801
134.8098  1.7968
134.4772  1.7926
134.1465  1.7884
133.8178  1.7842
133.4909  1.78
133.1658  1.7758
132.8425  1.7717
132.521  1.7675
132.2012  1.7633
131.883  1.7591
131.5665  1.7549
131.2515  1.7507
130.9382  1.7465
130.6263  1.7423
130.316  1.7382
130.0072  1.734
129.6998  1.7298
129.3938  1.7256
129.0892  1.7214
128.786  1.7172
128.4841  1.713
128.1836  1.7088
127.8843  1.7046
127.5863  1.7005
127.2896  1.6963
126.994  1.6921
126.6997  1.6879
126.4065  1.6837
126.1145  1.6795
125.8237  1.6753
