theta3  E4(MeV)
180  0.2824
174.8341  0.2819
172.6919  0.2813
171.0466  0.2807
169.6581  0.2802
168.4336  0.2796
167.3256  0.279
166.3056  0.2785
165.3553  0.2779
164.4618  0.2773
163.616  0.2768
162.8106  0.2762
162.0404  0.2757
161.3009  0.2751
160.5886  0.2745
159.9007  0.274
159.2347  0.2734
158.5885  0.2728
157.9604  0.2723
157.349  0.2717
156.7528  0.2711
156.1708  0.2706
155.6019  0.27
155.0452  0.2694
154.4999  0.2689
153.9654  0.2683
153.4409  0.2677
152.9258  0.2672
152.4197  0.2666
151.9221  0.2661
151.4324  0.2655
150.9504  0.2649
150.4756  0.2644
150.0076  0.2638
149.5462  0.2632
149.0911  0.2627
148.6419  0.2621
148.1985  0.2615
147.7606  0.261
147.328  0.2604
146.9004  0.2598
146.4777  0.2593
146.0596  0.2587
145.6461  0.2581
145.2369  0.2576
144.8319  0.257
144.431  0.2565
144.034  0.2559
143.6407  0.2553
143.2511  0.2548
142.8651  0.2542
142.4825  0.2536
142.1032  0.2531
141.7271  0.2525
141.3541  0.2519
140.9842  0.2514
140.6172  0.2508
140.2531  0.2502
139.8918  0.2497
139.5332  0.2491
139.1772  0.2485
138.8238  0.248
138.4729  0.2474
138.1244  0.2469
137.7783  0.2463
137.4345  0.2457
137.0929  0.2452
136.7535  0.2446
136.4163  0.244
136.0812  0.2435
135.7481  0.2429
135.4171  0.2423
135.0879  0.2418
134.7607  0.2412
134.4353  0.2406
134.1118  0.2401
133.7901  0.2395
133.47  0.2389
133.1517  0.2384
132.8351  0.2378
132.5201  0.2373
132.2067  0.2367
131.8948  0.2361
131.5845  0.2356
131.2757  0.235
130.9684  0.2344
130.6625  0.2339
130.358  0.2333
130.055  0.2327
129.7532  0.2322
129.4528  0.2316
129.1538  0.231
128.856  0.2305
128.5594  0.2299
128.2641  0.2293
127.9701  0.2288
127.6772  0.2282
127.3854  0.2277
127.0949  0.2271
126.8054  0.2265
126.5171  0.226
126.2298  0.2254
125.9436  0.2248
125.6585  0.2243
125.3744  0.2237
125.0913  0.2231
124.8092  0.2226
124.5281  0.222
124.248  0.2214
123.9688  0.2209
123.6905  0.2203
123.4132  0.2197
123.1367  0.2192
122.8612  0.2186
122.5865  0.2181
122.3126  0.2175
122.0396  0.2169
121.7674  0.2164
121.4961  0.2158
121.2255  0.2152
120.9558  0.2147
120.6868  0.2141
120.4186  0.2135
120.1511  0.213
119.8844  0.2124
119.6184  0.2118
119.3531  0.2113
119.0885  0.2107
118.8246  0.2101
118.5614  0.2096
118.2989  0.209
118.037  0.2085
117.7758  0.2079
117.5152  0.2073
117.2553  0.2068
116.9959  0.2062
116.7372  0.2056
116.4791  0.2051
116.2216  0.2045
115.9647  0.2039
115.7083  0.2034
