============================== SRIM-2008.04 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(25 MeV) ==> Havar window( 2.53 um) =====================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  1 .9955597E+07   2540096E-02 -.8734E+00  .7511E+01   .9999983  .0017045  .0007537
T    2  1 .9968410E+07   2540163E-02  .1267E+03  .3603E+01   .9999437  .0105564 -.0010948
T    3  1 .9945432E+07   2540264E-02 -.3971E+01 -.2800E+01   .9999672 -.0061661 -.0052469
T    4  1 .9944790E+07   2540252E-02 -.3346E+02  .2496E+02   .9999907 -.0042956 -.0004963
T    5  1 .9963081E+07   2540064E-02 -.2134E+02  .1635E+02   .9999984 -.0017698 -.0001647
T    6  1 .9967743E+07   2540247E-02  .3532E+02  .3907E+02   .9999999 -.0000356  .0004017
T    7  1 .9933334E+07   2540111E-02 -.1054E+02  .2910E+02   .9999831 -.0006875  .0057660
T    8  1 .9970365E+07   2540086E-02 -.7390E+02 -.4971E+02   .9999714 -.0074326 -.0014193
T    9  1 .9952803E+07   2540244E-02 -.9783E+00  .1190E+02   .9999893  .0045540 -.0008540
T   10  1 .9964476E+07   2540174E-02 -.5525E+01  .7636E+02   .9999761 -.0024462  .0064625
T   11  1 .9953694E+07   2540233E-02 -.5466E+02 -.3982E+02   .9999152 -.0083594 -.0099869
T   12  1 .9950763E+07   2540257E-02 -.2561E+01  .8032E+02   .9999765 -.0041422  .0054579
T   13  1 .9979221E+07   2540175E-02 -.5431E+02  .8742E+02   .9999898 -.0013474  .0043033
T   14  1 .9958381E+07   2540182E-02 -.2691E+02 -.1050E+03   .9999346 -.0042824 -.0106054
T   15  1 .9964935E+07   2540046E-02  .8303E+02  .1667E+02   .9999472  .0092234 -.0045243
T   16  1 .9938144E+07   2540087E-02  .1063E+02 -.1542E+02   .9999994  .0006123 -.0008791
T   17  1 .9956286E+07   2540219E-02 -.1412E+03  .6315E+02   .9999858 -.0042274  .0032543
T   18  1 .9954165E+07   2540000E-02  .8836E+02  .5235E+02   .9999910  .0025700  .0033670
T   19  1 .9940405E+07   2540189E-02 -.3605E+03  .6509E+03   .9995071 -.0101688  .0297018
T   20  1 .9934201E+07   2540167E-02  .2444E+02  .1811E+02   .9999973  .0020929  .0010507
T   21  1 .9937364E+07   2540142E-02  .5129E+02  .9727E+02   .9998809  .0044450  .0147800
T   22  1 .9946513E+07   2540242E-02  .3630E+02 -.2535E+02   .9999527  .0056059 -.0079479
T   23  1 .9951103E+07   2540081E-02 -.2230E+03 -.1653E+03   .9998765 -.0148345 -.0051842
T   24  1 .9962533E+07   2540002E-02  .2201E+02  .2947E+02   .9999849  .0050193 -.0022331
T   25  1 .9952291E+07   2540004E-02 -.1793E+02  .5409E+02   .9999960 -.0019799  .0020008
T   26  1 .9963341E+07   2540207E-02  .2231E+02 -.5535E+02   .9999802  .0028283 -.0056225
T   27  1 .9967740E+07   2540017E-02 -.8795E+02  .6071E+02   .9999879 -.0049022  .0003856
T   28  1 .9930758E+07   2540069E-02 -.6317E+02  .4811E+02   .9999862 -.0028341  .0044126
T   29  1 .9956043E+07   2540209E-02 -.9067E+01 -.1601E+02   .9999812 -.0031767 -.0052367
T   30  1 .9955806E+07   2540170E-02 -.7027E+02 -.3143E+03   .9999245 -.0089260 -.0084473
T   31  1 .9934360E+07   2540035E-02  .1263E+02  .8291E+02   .9999907  .0034364  .0025920
T   32  1 .9960188E+07   2540213E-02  .2090E+02 -.1838E+02   .9999907  .0036734 -.0022439
T   33  1 .9945476E+07   2540131E-02  .2757E+02  .1878E+03   .9999937 -.0001295  .0035530
T   34  1 .9968523E+07   2540246E-02  .1056E+02 -.1395E+02   .9999931  .0026799 -.0025887
T   35  1 .9933993E+07   2540143E-02  .4936E+02 -.5875E+02   .9999551  .0042714 -.0084561
T   36  1 .9973397E+07   2540061E-02  .2537E+02 -.1240E+02   .9999978 -.0015615 -.0014173
T   37  1 .9967144E+07   2540196E-02  .4578E+02  .5014E+01   .9999935  .0036021 -.0002738
T   38  1 .9948643E+07   2540220E-02  .3667E+02  .4156E+02   .9999977 -.0018005  .0011508
T   39  1 .9929422E+07   2540162E-02 -.9273E+01 -.1040E+03   .9999913 -.0040695 -.0009555
T   40  1 .9959991E+07   2540153E-02  .4061E+02  .1810E+02   .9999948  .0015416  .0028484
T   41  1 .9944445E+07   2540167E-02 -.2670E+02 -.1863E+02   .9999898 -.0043844  .0011056
T   42  1 .9959202E+07   2540051E-02  .2449E+03  .2572E+03   .9995607  .0205764  .0213335
T   43  1 .9962319E+07   2540045E-02 -.1762E+02 -.4072E+02   .9999765 -.0046034 -.0050884
T   44  1 .9952955E+07   2540210E-02  .4800E+02 -.4852E+02   .9999329  .0053344 -.0102825
T   45  1 .9952826E+07   2540141E-02 -.6134E+02  .3943E+02   .9999345 -.0068122  .0091934
T   46  1 .9930613E+07   2540098E-02 -.2454E+02 -.8404E+02   .9999756 -.0027343 -.0064296
T   47  1 .9960761E+07   2540219E-02  .1265E+02 -.2813E+02   .9999671  .0054557 -.0060066
T   48  1 .9971562E+07   2540083E-02 -.2876E+02  .6850E+01   .9999781 -.0053946 -.0038223
T   49  1 .9975739E+07   2540143E-02 -.4251E+01  .1916E+02   .9999989 -.0009167 -.0012044
T   50  1 .9964113E+07   2540001E-02  .5158E+02  .2088E+02   .9999895  .0045819  .0002749
T   51  1 .9944227E+07   2540219E-02  .1130E+03 -.4042E+02   .9999265  .0115609  .0036614
T   52  1 .9949417E+07   2540255E-02 -.1281E+03  .1352E+02   .9998753 -.0155358  .0028370
T   53  1 .9945941E+07   2540135E-02 -.4676E+02 -.1513E+02   .9999753 -.0065844 -.0024390
T   54  1 .9941624E+07   2540045E-02 -.1159E+02 -.2789E+02   .9999827 -.0003404 -.0058747
T   55  1 .9974630E+07   2540192E-02 -.2788E+02 -.3196E+02   .9999965 -.0010435 -.0024274
T   56  1 .9924060E+07   2540093E-02 -.9620E+01  .2911E+02   .9999946 -.0030441  .0011978
T   57  1 .9945090E+07   2540199E-02  .8206E+02  .1377E+03   .9999637  .0076063  .0038416
