============================== SRIM-2008.04 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(25 MeV) ==> Havar window( 2.53 um) =====================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  2 .2476349E+08   2540172E-02 -.4066E+02  .7381E+01   .9999898 -.0037793 -.0024799
T    2  2 .2478573E+08   2540017E-02  .3817E+02  .3499E+02   .9999889  .0026825  .0038818
T    3  2 .2478717E+08   2540043E-02  .8891E+01  .7156E+02   .9999689  .0060118  .0051111
T    4  2 .2479159E+08   2540073E-02  .5324E+01  .9029E+01   .9999775  .0033051 -.0058337
T    5  2 .2476665E+08   2540054E-02 -.5014E+02  .4636E+02   .9999868 -.0022175  .0046343
T    6  2 .2476655E+08   2540188E-02 -.7783E+02  .1083E+03   .9999746  .0008372  .0070753
T    7  2 .2478200E+08   2540110E-02  .5036E+01  .2544E+02   .9999956 -.0008435  .0028446
T    8  2 .2478111E+08   2540189E-02  .2264E+02 -.3040E+02   .9999968  .0004341 -.0024964
T    9  2 .2477756E+08   2540246E-02  .9527E+01 -.3970E+02   .9999851 -.0001001 -.0054587
T   10  2 .2478054E+08   2540045E-02  .8198E+01 -.6488E+02   .9999668  .0046613 -.0066819
T   11  2 .2480496E+08   2540256E-02 -.2588E+02  .1079E+02   .9999994 -.0010138 -.0004341
T   12  2 .2482271E+08   2540257E-02 -.6014E+02 -.1571E+02   .9999968 -.0013331 -.0021278
T   13  2 .2473008E+08   2540003E-02  .3991E+02 -.3856E+02   .9999925 -.0007946 -.0037927
T   14  2 .2480740E+08   2540151E-02  .1693E+03  .1686E+01   .9997950  .0196031 -.0050663
T   15  2 .2476145E+08   2540158E-02 -.4662E+02 -.3709E+02   .9999993 -.0011663 -.0001608
T   16  2 .2476697E+08   2540198E-02 -.3876E+01  .2113E+02   .9999906 -.0034310  .0026625
T   17  2 .2482094E+08   2540185E-02  .2400E+02 -.6703E+02   .9999561  .0005281 -.0093573
T   18  2 .2478823E+08   2540163E-02  .4042E+02 -.6354E+01   .9999781  .0065199 -.0011696
T   19  2 .2479152E+08   2540115E-02  .6160E+01 -.7477E+01   .9999995  .0006799 -.0007537
T   20  2 .2479198E+08   2540230E-02 -.1197E+01  .1506E+02   .9999998 -.0005407 -.0002128
T   21  2 .2481765E+08   2540001E-02 -.4241E+02 -.9546E+01   .9999999 -.0004329  .0002390
T   22  2 .2473575E+08   2540195E-02 -.1367E+01  .1656E+02   .9999999  .0002075  .0002668
T   23  2 .2477758E+08   2540216E-02 -.1205E+02 -.9030E+02   .9999638  .0006164 -.0084907
T   24  2 .2475934E+08   2540232E-02 -.2092E+02  .2899E+02   .9999948 -.0003947  .0032160
T   25  2 .2479810E+08   2540061E-02  .1292E+02 -.1901E+02   .9999934  .0024556 -.0026769
T   26  2 .2479255E+08   2540003E-02 -.3478E+02  .3052E+02   .9999908  .0042768 -.0001839
T   27  2 .2478170E+08   2540056E-02  .1514E+01  .7362E+02   .9999841 -.0036445  .0043103
T   28  2 .2479267E+08   2540040E-02 -.1864E+03  .3014E+02   .9999890 -.0046840  .0001796
T   29  2 .2475591E+08   2540227E-02  .5920E+02 -.1599E+03   .9999202  .0035346 -.0121296
T   30  2 .2473270E+08   2540202E-02 -.4448E+02  .7119E+02   .9999897 -.0009636  .0044425
T   31  2 .2474921E+08   2540252E-02  .6100E+02 -.1715E+02   .9999171  .0113635 -.0060530
T   32  2 .2480495E+08   2540149E-02 -.6403E+02 -.5538E+02   .9999878 -.0032910 -.0036960
T   33  2 .2476983E+08   2540163E-02  .2122E+02  .2369E+02   .9999941 -.0026100  .0022325
T   34  2 .2476287E+08   2540092E-02 -.1123E+02 -.7342E+01   .9999981 -.0015782 -.0011723
T   35  2 .2478882E+08   2540117E-02 -.8072E+03 -.4655E+03   .9989672 -.0394904 -.0224717
T   36  2 .2478665E+08   2540134E-02 -.4488E+02  .8737E+00   .9999988 -.0011446 -.0010621
T   37  2 .2479467E+08   2540219E-02  .2072E+02 -.1317E+02   .9999987 -.0015829  .0000334
T   38  2 .2480711E+08   2540063E-02 -.4519E+02  .3896E+02   .9999906 -.0017793  .0039518
T   39  2 .2477562E+08   2540230E-02 -.1889E+02 -.8726E+01   .9999992 -.0010273 -.0007324
T   40  2 .2477069E+08   2540261E-02  .7064E+01  .9192E+01   .9999982  .0014881 -.0012133
T   41  2 .2476761E+08   2540098E-02 -.9139E+02 -.3230E+02   .9999702 -.0072699 -.0026035
T   42  2 .2474205E+08   2540232E-02  .3145E+02  .4686E+02   .9999736  .0039475  .0061087
T   43  2 .2476084E+08   2540186E-02  .6097E+00 -.1410E+02   .9999996 -.0004933  .0007820
T   44  2 .2477580E+08   2540260E-02 -.4881E+02 -.6745E+02   .9998945 -.0133471 -.0057354
T   45  2 .2478784E+08   2540041E-02 -.8201E+01 -.2348E+02   .9999980  .0017899  .0008709
T   46  2 .2475929E+08   2540132E-02 -.4351E+02  .4451E+02   .9999352 -.0045756  .0104197
T   47  2 .2474835E+08   2540177E-02 -.2259E+02 -.4812E+02   .9999838 -.0013699 -.0055230
T   48  2 .2476008E+08   2540257E-02  .8863E+02  .3006E+02   .9999472  .0100365  .0021834
T   49  2 .2479490E+08   2540141E-02 -.3163E+02  .3121E+02   .9999840 -.0034059  .0045229
T   50  2 .2474727E+08   2540220E-02 -.2392E+02 -.1719E+02   .9999959 -.0020447  .0019938
T   51  2 .2482137E+08   2540092E-02 -.6986E+02  .4381E+02   .9999464  .0032795  .0098191
T   52  2 .2476823E+08   2540048E-02 -.6620E+02  .4218E+02   .9999273 -.0091496  .0078513
T   53  2 .2477250E+08   2540250E-02  .2844E+02 -.4282E+02   .9999179  .0058594 -.0113987
T   54  2 .2481220E+08   2540195E-02  .1583E+02 -.4125E+02   .9999994  .0004706 -.0009715
T   55  2 .2477988E+08   2540178E-02 -.3053E+02 -.1543E+02   .9999967 -.0024360  .0007709
T   56  2 .2480919E+08   2540175E-02 -.8273E+01  .4381E+02   .9999983 -.0013597  .0012379
T   57  2 .2474908E+08   2540197E-02  .2269E+02  .5130E+02   .9999933  .0004001  .0036390
T   58  2 .2479204E+08   2540068E-02 -.2334E+02  .2578E+02   .9999964 -.0026542  .0004272
T   59  2 .2481813E+08   2540094E-02  .4372E+02 -.7331E+01   .9999862  .0047533 -.0022461
T   60  2 .2479302E+08   2540130E-02  .1067E+02 -.2047E+02   .9999886  .0027388 -.0039022
