============================== SRIM-2008.04 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(5 MeV) ==> Xe gas( 25.3 mm) ============================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  1 .4463235E+07   2540000E+02 -.5850E+07  .8177E+05   .9991497 -.0395409 -.0116786
T    2  1 .4489680E+07   2540000E+02  .3617E+07 -.7037E+07   .9986359  .0157868 -.0497708
T    3  1 .4520901E+07   2540000E+02 -.3803E+07  .3243E+07   .9984428 -.0000737  .0557852
T    4  1 .4483943E+07   2540000E+02 -.7363E+06 -.8105E+06   .9998873  .0144109  .0042104
T    5  1 .4466628E+07   2540000E+02  .4117E+07 -.4148E+07   .9989059  .0360775 -.0297570
T    6  1 .4517544E+07   2540000E+02  .1091E+08  .2323E+07   .9989065  .0442430  .0151131
T    7  1 .4510395E+07   2540000E+02  .2175E+07  .5179E+07   .9994705  .0293933  .0139567
T    8  1 .4542449E+07   2540000E+02 -.6663E+07 -.4557E+07   .9987256 -.0188750 -.0468070
T    9  1 .4461278E+07   2540000E+02 -.3902E+07 -.9815E+07   .9972309 -.0127483 -.0732670
T   10  1 .4514060E+07   2540000E+02  .1969E+07 -.3032E+07   .9997681 -.0154033 -.0150516
T   11  1 .4493660E+07   2540000E+02  .7049E+07 -.1101E+07   .9997497  .0197780 -.0104578
T   12  1 .4469298E+07   2540000E+02 -.2182E+07  .2905E+07   .9917506  .1246748  .0297804
T   13  1 .4508552E+07   2540000E+02  .5846E+07 -.2710E+07   .9986137  .0426982 -.0307817
T   14  1 .4458823E+07   2540000E+02  .5449E+07  .5724E+07   .9990559  .0321710  .0291949
T   15  1 .4507425E+07   2540000E+02  .7413E+06  .1648E+08   .9918932 -.0070577  .1268783
T   16  1 .4491249E+07   2540000E+02  .9968E+07 -.1283E+07   .9986034  .0496197 -.0181449
T   17  1 .4477390E+07   2540000E+02 -.3523E+07 -.1575E+07   .9996563 -.0260790 -.0026921
T   18  1 .4518564E+07   2540000E+02  .2601E+07 -.1482E+07   .9987211 -.0310155  .0399280
T   19  1 .4508876E+07   2540000E+02  .1784E+07 -.4390E+07   .9971568 -.0182664 -.0731071
T   20  1 .4470428E+07   2540000E+02 -.3330E+07 -.7794E+07   .9974215 -.0206535 -.0687299
T   21  1 .4457939E+07   2540000E+02 -.2315E+07  .4158E+07   .9998104 -.0065814  .0183236
T   22  1 .4517150E+07   2540000E+02  .3708E+07  .8115E+07   .9978110  .0044257  .0659821
