# p + 208Pb Total neutron  production
# Q-value    =-3.66073E+00
# 
# # energies =    54
#    E         xs         Yield
 1.00000E-03 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 4.73527E-04 6.42257E-01
 5.00000E+00 3.64223E-02 9.96858E-01
 6.00000E+00 5.94088E-01 9.98784E-01
 7.00000E+00 4.63452E+00 9.99056E-01
 8.00000E+00 2.09193E+01 9.99197E-01
 9.00000E+00 6.15464E+01 9.99187E-01
 1.00000E+01 1.33171E+02 9.99027E-01
 1.10000E+01 2.52337E+02 1.06058E+00
 1.20000E+01 5.28676E+02 1.41577E+00
 1.30000E+01 9.00652E+02 1.70696E+00
 1.40000E+01 1.26046E+03 1.85216E+00
 1.50000E+01 1.55368E+03 1.89988E+00
 1.60000E+01 1.79312E+03 1.91520E+00
 1.70000E+01 1.98900E+03 1.91388E+00
 1.80000E+01 2.15871E+03 1.90739E+00
 1.90000E+01 2.31216E+03 1.89976E+00
 2.00000E+01 2.53863E+03 1.95959E+00
 2.20000E+01 3.26742E+03 2.28748E+00
 2.40000E+01 3.84314E+03 2.50469E+00
 2.60000E+01 4.15423E+03 2.56067E+00
 2.80000E+01 4.40941E+03 2.60207E+00
 3.00000E+01 4.81956E+03 2.74720E+00
 3.50000E+01 5.72171E+03 3.05609E+00
 4.00000E+01 6.30946E+03 3.24009E+00
 4.50000E+01 6.91910E+03 3.46787E+00
 5.00000E+01 7.36540E+03 3.64510E+00
 5.50000E+01 7.73767E+03 3.80851E+00
 6.00000E+01 8.08992E+03 3.98118E+00
 6.50000E+01 8.39858E+03 4.14663E+00
 7.00000E+01 8.67223E+03 4.30582E+00
 7.50000E+01 8.92901E+03 4.46504E+00
 8.00000E+01 9.13876E+03 4.60693E+00
 9.00000E+01 9.57442E+03 4.91147E+00
 1.00000E+02 1.00096E+04 5.22613E+00
 1.10000E+02 1.04814E+04 5.56543E+00
 1.20000E+02 1.09169E+04 5.88783E+00
 1.30000E+02 1.13337E+04 6.19986E+00
 1.40000E+02 1.17501E+04 6.51013E+00
 1.50000E+02 1.21645E+04 6.81687E+00
 1.60000E+02 1.26109E+04 7.13898E+00
 1.80000E+02 1.36124E+04 7.83791E+00
 2.00000E+02 1.47178E+04 8.58904E+00
