# p + 181Ta   : (p,nda)           Total
# Q-value    =-9.61571E+00
# E-threshold= 9.66924E+00
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.70000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.90000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+01 4.44597E-18 3.65607E-18 3.55649E-09
 2.20000E+01 4.02429E-14 4.57996E-14 1.27464E-06
 2.40000E+01 2.91513E-11 4.01779E-11 1.74576E-04
 2.60000E+01 2.42761E-09 3.81501E-09 5.76811E-03
 2.80000E+01 4.36609E-08 7.70546E-08 4.41217E-02
 3.00000E+01 2.39605E-07 4.69283E-07 9.74490E-02
 3.50000E+01 5.73960E-06 1.72448E-05 1.66943E-01
 4.00000E+01 7.34123E-05 3.11636E-04 1.32274E-01
 4.50000E+01 3.15127E-04 1.73154E-03 1.11100E-01
 5.00000E+01 5.96505E-04 3.75831E-03 1.02274E-01
 5.50000E+01 7.76747E-04 5.17476E-03 1.04756E-01
 6.00000E+01 8.42784E-04 5.70921E-03 1.07830E-01
 6.50000E+01 8.58947E-04 5.72370E-03 1.05250E-01
 7.00000E+01 8.16102E-04 5.38868E-03 7.99510E-02
 7.50000E+01 8.22272E-04 5.08476E-03 3.95080E-02
 8.00000E+01 7.58133E-04 4.21652E-03 1.28099E-02
 9.00000E+01 5.47845E-04 2.71803E-03 2.11358E-03
 1.00000E+02 4.37409E-04 2.11979E-03 6.91150E-04
 1.10000E+02 3.32248E-04 1.59872E-03 3.14232E-04
 1.20000E+02 2.73359E-04 1.31491E-03 1.76041E-04
 1.30000E+02 2.19561E-04 1.05752E-03 1.16446E-04
 1.40000E+02 1.74719E-04 8.40737E-04 8.22436E-05
 1.50000E+02 1.51320E-04 7.22523E-04 6.54483E-05
 1.60000E+02 1.31553E-04 6.32395E-04 5.29637E-05
 1.80000E+02 9.20363E-05 4.42319E-04 3.55386E-05
 2.00000E+02 6.94084E-05 3.33111E-04 2.44880E-05
