# p + 181Ta   : (p,npda)          Total
# Q-value    =-1.51258E+01
# E-threshold= 1.52100E+01
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.70000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.90000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.50000E+01 6.43363E-16 1.05003E-15 3.04886E-11
 4.00000E+01 1.76883E-12 3.86361E-12 6.96498E-08
 4.50000E+01 1.47024E-10 4.01387E-10 5.72654E-06
 5.00000E+01 4.46995E-09 1.76171E-08 1.36384E-04
 5.50000E+01 7.19776E-08 3.51899E-07 8.53067E-04
 6.00000E+01 5.21956E-07 2.83409E-06 2.00862E-03
 6.50000E+01 2.38243E-06 1.32818E-05 3.51907E-03
 7.00000E+01 6.35353E-06 3.56707E-05 4.74025E-03
 7.50000E+01 1.19073E-05 6.71163E-05 5.83087E-03
 8.00000E+01 1.75458E-05 9.86283E-05 6.98139E-03
 9.00000E+01 2.59643E-05 1.46852E-04 7.31658E-03
 1.00000E+02 3.15812E-05 1.76033E-04 4.55484E-03
 1.10000E+02 3.37250E-05 1.83374E-04 1.88395E-03
 1.20000E+02 3.49726E-05 1.88060E-04 9.29409E-04
 1.30000E+02 3.29815E-05 1.78942E-04 5.77158E-04
 1.40000E+02 3.17662E-05 1.71806E-04 3.84987E-04
 1.50000E+02 3.05916E-05 1.65812E-04 2.77113E-04
 1.60000E+02 2.95564E-05 1.59368E-04 2.13203E-04
 1.80000E+02 2.81663E-05 1.51888E-04 1.57862E-04
 2.00000E+02 2.57792E-05 1.39896E-04 1.31129E-04
