# p + 181Ta   : (p,pda)           Total
# Q-value    =-9.30339E+00
# E-threshold= 9.35518E+00
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.70000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.90000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.80000E+01 1.45743E-18 2.33841E-18 8.40751E-08
 3.00000E+01 1.06374E-16 2.04392E-16 5.01140E-07
 3.50000E+01 1.67045E-13 4.42616E-13 8.46979E-06
 4.00000E+01 2.43878E-11 8.32438E-11 7.38285E-05
 4.50000E+01 7.98655E-10 3.58944E-09 3.43936E-04
 5.00000E+01 1.02003E-08 5.40910E-08 8.67344E-04
 5.50000E+01 6.41021E-08 3.40370E-07 1.32331E-03
 6.00000E+01 1.84601E-07 9.62076E-07 1.43772E-03
 6.50000E+01 4.28841E-07 2.27576E-06 1.85515E-03
 7.00000E+01 6.87030E-07 3.69669E-06 2.08347E-03
 7.50000E+01 9.35445E-07 5.06259E-06 2.28800E-03
 8.00000E+01 1.14955E-06 6.23078E-06 2.28648E-03
 9.00000E+01 1.34891E-06 7.07344E-06 9.55219E-04
 1.00000E+02 1.46220E-06 7.47098E-06 2.28660E-04
 1.10000E+02 1.46060E-06 7.46031E-06 8.59652E-05
 1.20000E+02 1.38603E-06 7.09406E-06 4.66105E-05
 1.30000E+02 1.34552E-06 6.91038E-06 3.14688E-05
 1.40000E+02 1.30305E-06 6.68462E-06 2.25883E-05
 1.50000E+02 1.22962E-06 6.32388E-06 1.80023E-05
 1.60000E+02 1.15399E-06 5.95773E-06 1.51906E-05
 1.80000E+02 1.06147E-06 5.45075E-06 1.17968E-05
 2.00000E+02 1.01376E-06 5.22535E-06 9.96864E-06
