# p + 181Ta   : (p,2nda)          Total
# Q-value    =-1.72824E+01
# E-threshold= 1.73786E+01
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.70000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.90000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.80000E+01 4.53158E-17 9.34222E-17 1.36426E-07
 3.00000E+01 1.82529E-13 4.50500E-13 2.42913E-05
 3.50000E+01 5.23468E-09 1.61150E-08 2.63308E-03
 4.00000E+01 2.31263E-06 9.09290E-06 3.89917E-02
 4.50000E+01 1.03475E-04 5.01620E-04 1.39138E-01
 5.00000E+01 8.37684E-04 4.93893E-03 1.47572E-01
 5.50000E+01 2.21025E-03 1.50245E-02 1.35065E-01
 6.00000E+01 3.35084E-03 2.46476E-02 1.35409E-01
 6.50000E+01 3.91483E-03 2.94108E-02 1.42301E-01
 7.00000E+01 4.19668E-03 3.12180E-02 1.45165E-01
 7.50000E+01 4.18325E-03 3.08017E-02 1.38941E-01
 8.00000E+01 4.15121E-03 3.01029E-02 1.11657E-01
 9.00000E+01 3.60253E-03 2.33341E-02 3.23126E-02
 1.00000E+02 2.67419E-03 1.55754E-02 7.49630E-03
 1.10000E+02 2.08683E-03 1.17750E-02 2.72094E-03
 1.20000E+02 1.76822E-03 9.97264E-03 1.47745E-03
 1.30000E+02 1.36563E-03 7.61227E-03 8.78400E-04
 1.40000E+02 1.16860E-03 6.49291E-03 6.36815E-04
 1.50000E+02 9.98311E-04 5.58225E-03 4.77920E-04
 1.60000E+02 8.52280E-04 4.76926E-03 3.76709E-04
 1.80000E+02 6.23764E-04 3.46522E-03 2.25301E-04
 2.00000E+02 4.83720E-04 2.69161E-03 1.55401E-04
