# p + 181Ta   : (p,da)            Total
# Q-value    =-3.32774E+00
# E-threshold= 3.34626E+00
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+01 8.91510E-19 8.31276E-21 0.00000E+00
 1.50000E+01 9.02275E-17 1.30979E-18 0.00000E+00
 1.60000E+01 4.45392E-15 8.01917E-17 0.00000E+00
 1.70000E+01 1.16124E-13 2.38123E-15 0.00000E+00
 1.80000E+01 5.51461E-12 8.16867E-12 8.52360E-01
 1.90000E+01 4.60621E-11 7.34155E-11 7.98465E-01
 2.00000E+01 2.61721E-10 4.40011E-10 7.41247E-01
 2.20000E+01 4.12177E-09 8.35673E-09 6.17616E-01
 2.40000E+01 3.82853E-08 9.48029E-08 4.73371E-01
 2.60000E+01 2.23951E-07 6.47088E-07 3.27953E-01
 2.80000E+01 8.56621E-07 2.88196E-06 2.08417E-01
 3.00000E+01 2.50269E-06 9.71755E-06 1.36489E-01
 3.50000E+01 1.78286E-05 9.06017E-05 7.12862E-02
 4.00000E+01 5.17867E-05 3.15822E-04 5.70263E-02
 4.50000E+01 8.37396E-05 5.85492E-04 5.49999E-02
 5.00000E+01 1.01111E-04 7.63794E-04 5.72964E-02
 5.50000E+01 1.03577E-04 7.89785E-04 5.84854E-02
 6.00000E+01 9.96283E-05 7.51315E-04 4.55278E-02
 6.50000E+01 9.23794E-05 6.54678E-04 1.91658E-02
 7.00000E+01 8.27792E-05 5.14777E-04 4.47833E-03
 7.50000E+01 6.20847E-05 3.38985E-04 9.85098E-04
 8.00000E+01 4.90186E-05 2.50110E-04 3.26704E-04
 9.00000E+01 3.66652E-05 1.82205E-04 9.08431E-05
 1.00000E+02 2.73374E-05 1.34100E-04 3.93717E-05
 1.10000E+02 2.19561E-05 1.08079E-04 2.31277E-05
 1.20000E+02 1.68971E-05 8.26631E-05 1.45903E-05
 1.30000E+02 1.36452E-05 6.66816E-05 1.03163E-05
 1.40000E+02 1.15331E-05 5.66549E-05 7.69716E-06
 1.50000E+02 9.31185E-06 4.54512E-05 5.81723E-06
 1.60000E+02 7.72819E-06 3.76415E-05 4.63709E-06
 1.80000E+02 5.80104E-06 2.83447E-05 3.16318E-06
 2.00000E+02 4.11536E-06 2.00131E-05 2.24605E-06
