# p + 181Ta   : (p,dha)           Total
# Q-value    =-1.53851E+01
# E-threshold= 1.54708E+01
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.70000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.90000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 4.50000E+01 2.57233E-20 5.92157E-20 9.94989E-12
 5.00000E+01 1.10385E-17 4.09149E-17 1.15648E-09
 5.50000E+01 2.18343E-15 1.47297E-14 1.71451E-07
 6.00000E+01 2.01748E-13 1.86592E-12 1.57524E-05
 6.50000E+01 5.89311E-12 5.71215E-11 2.05225E-04
 7.00000E+01 5.65455E-11 5.56298E-10 3.04753E-04
 7.50000E+01 1.82498E-10 1.75116E-09 1.85935E-04
 8.00000E+01 2.48873E-10 2.12009E-09 5.88386E-05
 9.00000E+01 2.79445E-10 2.21971E-09 1.05917E-05
 1.00000E+02 2.70539E-10 2.17782E-09 3.81132E-06
 1.10000E+02 1.91869E-10 1.52095E-09 1.62374E-06
 1.20000E+02 1.66502E-10 1.29178E-09 1.01572E-06
 1.30000E+02 1.40750E-10 1.09850E-09 6.03907E-07
 1.40000E+02 1.06240E-10 8.47544E-10 3.92053E-07
 1.50000E+02 8.20385E-11 6.56746E-10 2.80643E-07
 1.60000E+02 5.33597E-11 4.18768E-10 1.68106E-07
 1.80000E+02 3.27657E-11 2.51533E-10 9.16184E-08
 2.00000E+02 2.58246E-11 2.00110E-10 5.95388E-08
