# p + 181Ta   : (p,nha)           Total
# Q-value    =-9.63227E+00
# E-threshold= 9.68589E+00
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.70000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.90000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.60000E+01 3.09664E-18 4.10397E-18 7.45203E-13
 2.80000E+01 1.18990E-15 1.69824E-15 1.91406E-10
 3.00000E+01 1.33139E-13 2.03684E-13 1.37289E-08
 3.50000E+01 4.13566E-10 7.84521E-10 1.95986E-05
 4.00000E+01 6.19041E-08 1.48716E-07 2.43755E-03
 4.50000E+01 1.15701E-06 4.26792E-06 4.50655E-02
 5.00000E+01 1.25546E-05 7.18866E-05 3.83059E-01
 5.50000E+01 6.01444E-05 3.95242E-04 7.12821E-01
 6.00000E+01 1.33627E-04 9.18145E-04 5.14232E-01
 6.50000E+01 1.73022E-04 1.12358E-03 2.55570E-01
 7.00000E+01 1.73655E-04 1.06760E-03 1.29561E-01
 7.50000E+01 1.65039E-04 9.89303E-04 8.08176E-02
 8.00000E+01 1.48579E-04 8.69118E-04 5.91190E-02
 9.00000E+01 1.16322E-04 6.75992E-04 3.27788E-02
 1.00000E+02 8.89375E-05 5.06272E-04 1.28271E-02
 1.10000E+02 6.61974E-05 3.65912E-04 3.69793E-03
 1.20000E+02 5.13349E-05 2.80124E-04 1.36424E-03
 1.30000E+02 3.83890E-05 2.11238E-04 6.71785E-04
 1.40000E+02 2.95912E-05 1.62277E-04 3.58628E-04
 1.50000E+02 2.31433E-05 1.27089E-04 2.09643E-04
 1.60000E+02 1.84136E-05 1.00553E-04 1.32825E-04
 1.80000E+02 1.23263E-05 6.73151E-05 6.90846E-05
 2.00000E+02 8.22316E-06 4.52111E-05 4.18280E-05
