# p + 181Ta   : (p,npha)          Total
# Q-value    =-1.76097E+01
# E-threshold= 1.77077E+01
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.70000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.90000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 4.50000E+01 2.93512E-18 6.14052E-18 1.13532E-09
 5.00000E+01 1.53788E-15 3.97995E-15 1.61121E-07
 5.50000E+01 5.60214E-12 2.99024E-11 4.39900E-04
 6.00000E+01 6.14604E-10 4.18170E-09 4.79881E-02
 6.50000E+01 1.65942E-08 1.29997E-07 5.77887E-01
 7.00000E+01 1.49183E-07 1.26096E-06 8.04026E-01
 7.50000E+01 5.39761E-07 4.52145E-06 5.49925E-01
 8.00000E+01 1.18106E-06 8.86092E-06 2.79227E-01
 9.00000E+01 3.68390E-06 2.64407E-05 1.39630E-01
 1.00000E+02 8.11757E-06 5.92855E-05 1.14359E-01
 1.10000E+02 1.09155E-05 7.89101E-05 9.23757E-02
 1.20000E+02 1.17564E-05 8.36753E-05 7.17178E-02
 1.30000E+02 1.31747E-05 9.50763E-05 5.65277E-02
 1.40000E+02 1.26957E-05 9.39043E-05 4.68505E-02
 1.50000E+02 1.18771E-05 8.79054E-05 4.06298E-02
 1.60000E+02 1.13937E-05 8.28187E-05 3.58949E-02
 1.80000E+02 9.89369E-06 7.04251E-05 2.76644E-02
 2.00000E+02 1.01336E-05 7.27605E-05 2.33631E-02
