# p + 181Ta   : (p,pha)           Total
# Q-value    =-1.19299E+01
# E-threshold= 1.19963E+01
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.70000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.90000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+01 1.48689E-20 1.75493E-22 0.00000E+00
 4.50000E+01 1.94781E-17 1.45081E-19 0.00000E+00
 5.00000E+01 2.62634E-15 1.46191E-17 0.00000E+00
 5.50000E+01 4.15913E-11 2.36882E-10 9.85659E-01
 6.00000E+01 9.09726E-10 6.16097E-09 8.95248E-01
 6.50000E+01 6.67331E-09 4.87563E-08 5.93358E-01
 7.00000E+01 2.10650E-08 1.46669E-07 2.64901E-01
 7.50000E+01 4.12232E-08 2.70096E-07 1.17486E-01
 8.00000E+01 7.24786E-08 4.65453E-07 7.13466E-02
 9.00000E+01 1.72670E-07 1.10785E-06 4.74572E-02
 1.00000E+02 2.78189E-07 1.80005E-06 4.46320E-02
 1.10000E+02 3.37895E-07 2.18207E-06 3.79835E-02
 1.20000E+02 3.67413E-07 2.37206E-06 2.73893E-02
 1.30000E+02 3.35652E-07 2.17329E-06 1.80735E-02
 1.40000E+02 3.16502E-07 2.04585E-06 1.33536E-02
 1.50000E+02 3.03255E-07 1.94844E-06 1.02689E-02
 1.60000E+02 3.03438E-07 1.93884E-06 8.20145E-03
 1.80000E+02 2.55512E-07 1.63957E-06 5.79448E-03
 2.00000E+02 2.27709E-07 1.45137E-06 4.99220E-03
