# p + 181Ta   : (p,3nha)          Total
# Q-value    =-2.34640E+01
# E-threshold= 2.35946E+01
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.70000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.90000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+01 2.10266E-18 3.88428E-18 1.42765E-14
 4.50000E+01 4.11011E-13 9.08924E-13 5.33051E-10
 5.00000E+01 7.70217E-10 2.06180E-09 5.80506E-07
 5.50000E+01 1.53272E-07 6.14189E-07 1.10341E-04
 6.00000E+01 9.33890E-06 4.74471E-05 7.35502E-03
 6.50000E+01 1.26679E-04 7.98799E-04 1.04727E-01
 7.00000E+01 5.94555E-04 4.21033E-03 3.61564E-01
 7.50000E+01 1.37517E-03 9.89191E-03 4.66611E-01
 8.00000E+01 1.99527E-03 1.37070E-02 3.71999E-01
 9.00000E+01 2.16063E-03 1.34788E-02 1.87920E-01
 1.00000E+02 1.87151E-03 1.12818E-02 1.12399E-01
 1.10000E+02 1.38916E-03 8.28631E-03 6.85585E-02
 1.20000E+02 1.19741E-03 6.90066E-03 3.89249E-02
 1.30000E+02 9.95803E-04 5.59775E-03 1.94565E-02
 1.40000E+02 8.19208E-04 4.53851E-03 9.28307E-03
 1.50000E+02 6.61843E-04 3.65456E-03 5.02273E-03
 1.60000E+02 5.52135E-04 3.05166E-03 3.06168E-03
 1.80000E+02 3.74942E-04 2.02864E-03 1.35176E-03
 2.00000E+02 2.65076E-04 1.41881E-03 8.04535E-04
