# p + 181Ta   : (p,ha)            Total
# Q-value    =-3.80991E+00
# E-threshold= 3.83112E+00
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.70000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.90000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+01 3.26871E-19 5.35918E-21 0.00000E+00
 2.20000E+01 7.45420E-17 1.92935E-18 0.00000E+00
 2.40000E+01 5.21082E-15 1.84609E-16 0.00000E+00
 2.60000E+01 1.47021E-13 5.83402E-15 0.00000E+00
 2.80000E+01 1.73348E-11 3.60583E-11 9.99999E-01
 3.00000E+01 2.12264E-10 4.88669E-10 9.99998E-01
 3.50000E+01 1.97199E-08 6.57890E-08 9.99874E-01
 4.00000E+01 3.28278E-07 1.49427E-06 9.93788E-01
 4.50000E+01 2.09334E-06 1.24392E-05 9.01486E-01
 5.00000E+01 6.37995E-06 4.32705E-05 5.42493E-01
 5.50000E+01 9.61185E-06 6.09972E-05 1.98425E-01
 6.00000E+01 8.77690E-06 5.08680E-05 6.83569E-02
 6.50000E+01 8.19386E-06 4.62151E-05 3.54463E-02
 7.00000E+01 7.34024E-06 4.10418E-05 2.22598E-02
 7.50000E+01 6.29714E-06 3.51032E-05 1.54021E-02
 8.00000E+01 5.60127E-06 3.11244E-05 1.11410E-02
 9.00000E+01 4.08049E-06 2.17761E-05 2.88957E-03
 1.00000E+02 2.97941E-06 1.54393E-05 4.65923E-04
 1.10000E+02 2.20179E-06 1.13767E-05 1.29589E-04
 1.20000E+02 1.59391E-06 8.24248E-06 5.36012E-05
 1.30000E+02 1.23620E-06 6.41103E-06 2.89121E-05
 1.40000E+02 9.72295E-07 5.03267E-06 1.68547E-05
 1.50000E+02 7.50185E-07 3.89313E-06 1.09831E-05
 1.60000E+02 5.80561E-07 3.02413E-06 7.64223E-06
 1.80000E+02 3.74431E-07 1.93954E-06 4.16128E-06
 2.00000E+02 2.59077E-07 1.34689E-06 2.54758E-06
