# p + 181Ta   : (p,na)            Total
# Q-value    = 1.23504E+00
# E-threshold= 0.00000E+00
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 1.00000E-20 1.00000E-20 0.00000E+00
 3.00000E+00 1.00000E-20 1.00000E-20 0.00000E+00
 4.00000E+00 1.00000E-20 1.00000E-20 0.00000E+00
 5.00000E+00 1.60353E-14 3.10849E-17 0.00000E+00
 6.00000E+00 4.66865E-11 3.15440E-11 9.99941E-01
 7.00000E+00 1.22517E-08 1.01500E-08 9.99922E-01
 8.00000E+00 6.46104E-07 6.31054E-07 9.99889E-01
 9.00000E+00 3.74893E-06 4.03919E-06 9.99675E-01
 1.00000E+01 2.30842E-05 2.56984E-05 9.99724E-01
 1.10000E+01 1.33603E-04 1.55471E-04 9.99841E-01
 1.20000E+01 6.48996E-04 8.06568E-04 9.99900E-01
 1.30000E+01 2.43117E-03 3.30035E-03 9.99920E-01
 1.40000E+01 7.83975E-03 1.10292E-02 9.99934E-01
 1.50000E+01 2.38425E-02 3.55825E-02 9.99949E-01
 1.60000E+01 7.37472E-02 1.11180E-01 9.99964E-01
 1.70000E+01 1.99059E-01 3.10405E-01 9.99973E-01
 1.80000E+01 5.21414E-01 8.36493E-01 9.99980E-01
 1.90000E+01 1.36887E+00 2.29367E+00 9.99987E-01
 2.00000E+01 4.93718E+00 8.52969E+00 9.99994E-01
 2.20000E+01 1.12839E+01 2.35186E+01 9.99994E-01
 2.40000E+01 7.05178E+00 1.84219E+01 9.99985E-01
 2.60000E+01 7.63079E+00 2.30824E+01 9.99980E-01
 2.80000E+01 8.00410E+00 2.67838E+01 9.99976E-01
 3.00000E+01 7.93756E+00 2.85572E+01 9.99970E-01
 3.50000E+01 6.41686E+00 2.54953E+01 9.99839E-01
 4.00000E+01 4.58149E+00 1.90479E+01 9.75733E-01
 4.50000E+01 3.20275E+00 1.36052E+01 7.39422E-01
 5.00000E+01 2.21946E+00 9.41826E+00 4.07294E-01
 5.50000E+01 1.64773E+00 7.10401E+00 2.20411E-01
 6.00000E+01 1.17232E+00 5.01606E+00 1.14067E-01
 6.50000E+01 8.24055E-01 3.37501E+00 6.11884E-02
 7.00000E+01 5.83766E-01 2.29700E+00 3.51401E-02
 7.50000E+01 4.35854E-01 1.65923E+00 2.25372E-02
 8.00000E+01 3.31754E-01 1.23911E+00 1.54301E-02
 9.00000E+01 2.11227E-01 7.65405E-01 8.43534E-03
 1.00000E+02 1.43617E-01 5.11301E-01 5.35460E-03
 1.10000E+02 1.04209E-01 3.65490E-01 3.64568E-03
 1.20000E+02 7.84237E-02 2.72001E-01 2.68000E-03
 1.30000E+02 6.20377E-02 2.14640E-01 2.08289E-03
 1.40000E+02 5.00401E-02 1.71551E-01 1.68310E-03
 1.50000E+02 4.17265E-02 1.42252E-01 1.40366E-03
 1.60000E+02 3.48356E-02 1.18807E-01 1.18344E-03
 1.80000E+02 2.55841E-02 8.66186E-02 8.87535E-04
 2.00000E+02 1.93297E-02 6.53294E-02 6.88318E-04
