# p + 181Ta   : (p,npa)           Total
# Q-value    =-5.55231E+00
# E-threshold= 5.58322E+00
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 1.62008E-20 4.55170E-23 0.00000E+00
 1.30000E+01 7.28053E-18 8.34261E-20 0.00000E+00
 1.40000E+01 2.90178E-16 6.02475E-18 0.00000E+00
 1.50000E+01 2.92919E-15 7.94637E-17 0.00000E+00
 1.60000E+01 1.02007E-14 3.52159E-16 0.00000E+00
 1.70000E+01 2.92442E-14 7.76935E-16 0.00000E+00
 1.80000E+01 9.55193E-13 1.35670E-12 1.47639E-01
 1.90000E+01 1.16261E-11 1.77891E-11 2.01533E-01
 2.00000E+01 9.13604E-11 1.45508E-10 2.58751E-01
 2.20000E+01 2.55188E-09 4.73286E-09 3.82380E-01
 2.40000E+01 4.25922E-08 9.06863E-08 5.26623E-01
 2.60000E+01 4.58920E-07 1.09914E-06 6.72040E-01
 2.80000E+01 3.25347E-06 8.68627E-06 7.91573E-01
 3.00000E+01 1.58333E-05 4.79528E-05 8.63498E-01
 3.50000E+01 2.32264E-04 9.91514E-04 9.28691E-01
 4.00000E+01 8.56289E-04 4.73594E-03 9.42924E-01
 4.50000E+01 1.43860E-03 9.34089E-03 9.44869E-01
 5.00000E+01 1.66207E-03 1.17948E-02 9.41840E-01
 5.50000E+01 1.60938E-03 1.15005E-02 9.08742E-01
 6.00000E+01 1.53844E-03 1.09188E-02 7.03031E-01
 6.50000E+01 1.39189E-03 9.23789E-03 2.88775E-01
 7.00000E+01 1.27344E-03 7.31032E-03 6.88926E-02
 7.50000E+01 1.10674E-03 5.51115E-03 1.75607E-02
 8.00000E+01 1.09169E-03 5.09300E-03 7.27599E-03
 9.00000E+01 1.17462E-03 5.38250E-03 2.91029E-03
 1.00000E+02 1.28891E-03 5.83709E-03 1.85631E-03
 1.10000E+02 1.34314E-03 6.13505E-03 1.41481E-03
 1.20000E+02 1.23762E-03 5.64055E-03 1.06866E-03
 1.30000E+02 1.10447E-03 5.06859E-03 8.35021E-04
 1.40000E+02 1.02186E-03 4.70907E-03 6.81984E-04
 1.50000E+02 8.90488E-04 4.08288E-03 5.56299E-04
 1.60000E+02 7.93160E-04 3.63641E-03 4.75914E-04
 1.80000E+02 6.99949E-04 3.21811E-03 3.81667E-04
 2.00000E+02 5.81736E-04 2.67444E-03 3.17495E-04
