# p + 181Ta   : (p,3npa)          Total
# Q-value    =-1.95070E+01
# E-threshold= 1.96156E+01
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.70000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.90000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.60000E+01 3.11016E-20 6.16013E-20 8.95449E-09
 2.80000E+01 2.06348E-15 5.01530E-15 6.21221E-06
 3.00000E+01 2.43550E-13 6.44514E-13 3.24122E-05
 3.50000E+01 4.11961E-09 1.22179E-08 2.07219E-03
 4.00000E+01 3.30713E-06 1.19626E-05 5.57593E-02
 4.50000E+01 3.11280E-04 1.39529E-03 4.18564E-01
 5.00000E+01 4.08224E-03 2.24555E-02 7.19153E-01
 5.50000E+01 1.31721E-02 8.70833E-02 8.04928E-01
 6.00000E+01 2.03058E-02 1.47407E-01 8.20569E-01
 6.50000E+01 2.25234E-02 1.66938E-01 8.18709E-01
 7.00000E+01 2.34432E-02 1.71946E-01 8.10908E-01
 7.50000E+01 2.30352E-02 1.66645E-01 7.65084E-01
 8.00000E+01 2.33866E-02 1.66127E-01 6.29043E-01
 9.00000E+01 2.35221E-02 1.49213E-01 2.10980E-01
 1.00000E+02 2.10912E-02 1.18563E-01 5.91230E-02
 1.10000E+02 2.22386E-02 1.20048E-01 2.89961E-02
 1.20000E+02 2.33729E-02 1.26696E-01 1.95294E-02
 1.30000E+02 2.15192E-02 1.15203E-01 1.38416E-02
 1.40000E+02 2.10432E-02 1.12470E-01 1.14673E-02
 1.50000E+02 2.02053E-02 1.08975E-01 9.67286E-03
 1.60000E+02 1.92218E-02 1.03941E-01 8.49607E-03
 1.80000E+02 1.74114E-02 9.35181E-02 6.28892E-03
 2.00000E+02 1.56439E-02 8.44165E-02 5.02581E-03
