# p + 181Ta   : (p,pa)            Total
# Q-value    = 1.52058E+00
# E-threshold= 0.00000E+00
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 1.00000E-20 1.00000E-20 0.00000E+00
 3.00000E+00 1.00000E-20 1.00000E-20 0.00000E+00
 4.00000E+00 1.00000E-20 1.00000E-20 0.00000E+00
 5.00000E+00 1.00000E-20 1.00000E-20 0.00000E+00
 6.00000E+00 1.00000E-20 1.00000E-20 0.00000E+00
 7.00000E+00 1.00000E-20 1.00000E-20 0.00000E+00
 8.00000E+00 8.72355E-19 5.42351E-21 0.00000E+00
 9.00000E+00 2.03145E-16 3.24336E-18 0.00000E+00
 1.00000E+01 1.63224E-14 4.98922E-16 0.00000E+00
 1.10000E+01 1.65429E-12 1.76467E-12 9.99993E-01
 1.20000E+01 2.51295E-11 2.93084E-11 9.99992E-01
 1.30000E+01 1.85119E-10 2.30364E-10 9.99991E-01
 1.40000E+01 9.13637E-10 1.16528E-09 9.99990E-01
 1.50000E+01 3.27514E-09 4.25755E-09 9.99990E-01
 1.60000E+01 9.21930E-09 1.24104E-08 9.99990E-01
 1.70000E+01 2.25866E-08 3.26598E-08 9.99990E-01
 1.80000E+01 5.16157E-08 8.28079E-08 9.99990E-01
 1.90000E+01 1.14668E-07 2.04969E-07 9.99989E-01
 2.00000E+01 2.37956E-07 4.60808E-07 9.99989E-01
 2.20000E+01 9.63514E-07 2.17482E-06 9.99990E-01
 2.40000E+01 2.61045E-06 6.92909E-06 9.99987E-01
 2.60000E+01 6.97229E-06 2.19619E-05 9.99986E-01
 2.80000E+01 1.56422E-05 5.60219E-05 9.99984E-01
 3.00000E+01 3.19545E-05 1.27349E-04 9.99982E-01
 3.50000E+01 8.08817E-05 3.76663E-04 9.99971E-01
 4.00000E+01 1.12953E-04 5.66194E-04 9.99871E-01
 4.50000E+01 1.09883E-04 5.71353E-04 9.80368E-01
 5.00000E+01 1.03949E-04 5.38970E-04 6.61377E-01
 5.50000E+01 9.00066E-05 4.63590E-04 1.46459E-01
 6.00000E+01 7.76610E-05 3.84753E-04 1.58039E-02
 6.50000E+01 5.93556E-05 2.64170E-04 2.05417E-03
 7.00000E+01 6.17652E-05 2.67176E-04 7.69311E-04
 7.50000E+01 6.27282E-05 2.69879E-04 3.94371E-04
 8.00000E+01 6.74786E-05 2.90974E-04 2.68127E-04
 9.00000E+01 7.13593E-05 3.09576E-04 1.62040E-04
 1.00000E+02 7.65799E-05 3.35171E-04 1.25245E-04
 1.10000E+02 7.17181E-05 3.13583E-04 9.65934E-05
 1.20000E+02 6.07099E-05 2.65574E-04 7.08736E-05
 1.30000E+02 5.34011E-05 2.34192E-04 5.69424E-05
 1.40000E+02 4.46021E-05 1.94818E-04 4.53034E-05
 1.50000E+02 3.87102E-05 1.69231E-04 3.79339E-05
 1.60000E+02 3.61159E-05 1.58854E-04 3.32976E-05
 1.80000E+02 2.77794E-05 1.21357E-04 2.49272E-05
 2.00000E+02 2.32888E-05 1.02082E-04 2.02624E-05
