# p + 181Ta   : (p,ndta)          Total
# Q-value    =-2.04756E+01
# E-threshold= 2.05896E+01
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.70000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.90000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+01 1.55033E-19 2.92640E-19 1.05263E-15
 4.50000E+01 6.80154E-15 1.63922E-14 8.82111E-12
 5.00000E+01 2.02172E-12 7.34764E-12 1.52375E-09
 5.50000E+01 1.13237E-10 6.01830E-10 8.15196E-08
 6.00000E+01 2.13400E-09 1.50712E-08 1.68067E-06
 6.50000E+01 1.34799E-08 1.11951E-07 1.11440E-05
 7.00000E+01 3.57925E-08 3.13211E-07 2.17663E-05
 7.50000E+01 5.88486E-08 5.10682E-07 1.99681E-05
 8.00000E+01 6.62119E-08 5.45097E-07 1.23446E-05
 9.00000E+01 5.71092E-08 4.14342E-07 4.96706E-06
 1.00000E+02 4.76634E-08 3.29301E-07 2.86258E-06
 1.10000E+02 3.28554E-08 2.23098E-07 1.62150E-06
 1.20000E+02 2.66677E-08 1.72465E-07 8.66905E-07
 1.30000E+02 2.24696E-08 1.40695E-07 4.39021E-07
 1.40000E+02 1.79496E-08 1.10801E-07 2.03401E-07
 1.50000E+02 1.32145E-08 8.13936E-08 1.00285E-07
 1.60000E+02 9.59507E-09 5.85833E-08 5.32062E-08
 1.80000E+02 5.05837E-09 3.01135E-08 1.82367E-08
 2.00000E+02 3.42613E-09 2.03315E-08 1.03987E-08
