# p + 181Ta   : (p,dta)           Total
# Q-value    =-1.41085E+01
# E-threshold= 1.41871E+01
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.70000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.90000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.50000E+01 1.76021E-19 4.39065E-19 2.44342E-15
 4.00000E+01 1.51727E-15 5.79979E-15 6.36713E-12
 4.50000E+01 4.17174E-13 2.06317E-12 1.25974E-09
 5.00000E+01 1.44028E-11 9.51226E-11 4.38999E-08
 5.50000E+01 1.75820E-10 1.46375E-09 5.78991E-07
 6.00000E+01 8.21169E-10 7.71863E-09 2.28472E-06
 6.50000E+01 1.54806E-09 1.44083E-08 2.36552E-06
 7.00000E+01 2.00240E-09 1.78340E-08 1.41339E-06
 7.50000E+01 1.90887E-09 1.55832E-08 6.99683E-07
 8.00000E+01 1.65316E-09 1.28761E-08 3.79282E-07
 9.00000E+01 1.09351E-09 7.95339E-09 1.52127E-07
 1.00000E+02 8.29320E-10 5.81941E-09 8.22124E-08
 1.10000E+02 6.52886E-10 4.44216E-09 4.26437E-08
 1.20000E+02 5.01075E-10 3.33046E-09 1.69447E-08
 1.30000E+02 3.93403E-10 2.57953E-09 7.04581E-09
 1.40000E+02 3.13647E-10 2.02302E-09 3.63093E-09
 1.50000E+02 2.61572E-10 1.67753E-09 2.17257E-09
 1.60000E+02 2.09539E-10 1.33743E-09 1.33908E-09
 1.80000E+02 1.38128E-10 8.92701E-10 6.96473E-10
 2.00000E+02 8.94172E-11 5.75239E-10 4.13086E-10
