# p + 181Ta   : (p,nta)           Total
# Q-value    =-1.10252E+01
# E-threshold= 1.10865E+01
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.70000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.90000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.20000E+01 2.06904E-19 1.44807E-21 0.00000E+00
 2.40000E+01 1.14791E-15 1.86800E-17 0.00000E+00
 2.60000E+01 3.47329E-12 8.64088E-12 1.00000E+00
 2.80000E+01 3.32162E-10 8.91002E-10 9.99993E-01
 3.00000E+01 7.51372E-09 2.25588E-08 9.99943E-01
 3.50000E+01 1.97869E-06 7.67987E-06 9.95293E-01
 4.00000E+01 5.36908E-05 2.72330E-04 9.05245E-01
 4.50000E+01 3.28922E-04 2.05494E-03 4.42287E-01
 5.00000E+01 7.56397E-04 5.23167E-03 1.33252E-01
 5.50000E+01 9.80829E-04 7.27928E-03 5.99369E-02
 6.00000E+01 1.08275E-03 8.49410E-03 4.37543E-02
 6.50000E+01 1.04111E-03 8.28878E-03 3.78437E-02
 7.00000E+01 9.56713E-04 7.52358E-03 3.30930E-02
 7.50000E+01 8.27510E-04 6.43060E-03 2.74847E-02
 8.00000E+01 7.16333E-04 5.47382E-03 1.92676E-02
 9.00000E+01 5.40270E-04 3.70058E-03 4.84591E-03
 1.00000E+02 3.45832E-04 2.12360E-03 9.69437E-04
 1.10000E+02 2.39718E-04 1.41940E-03 3.12558E-04
 1.20000E+02 1.83638E-04 1.08183E-03 1.53441E-04
 1.30000E+02 1.28445E-04 7.50190E-04 8.26188E-05
 1.40000E+02 9.91211E-05 5.76088E-04 5.40150E-05
 1.50000E+02 7.83528E-05 4.56587E-04 3.75098E-05
 1.60000E+02 6.17693E-05 3.60150E-04 2.73022E-05
 1.80000E+02 3.81647E-05 2.21655E-04 1.37849E-05
 2.00000E+02 2.53393E-05 1.46759E-04 8.14056E-06
