# p + 181Ta   : (p,npta)          Total
# Q-value    =-1.63331E+01
# E-threshold= 1.64240E+01
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.70000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.90000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.50000E+01 4.20283E-18 9.19048E-18 5.83413E-14
 4.00000E+01 7.28644E-14 2.37111E-13 3.05772E-10
 4.50000E+01 2.89956E-11 1.22596E-10 8.75579E-08
 5.00000E+01 1.94634E-09 1.04734E-08 5.93248E-06
 5.50000E+01 3.20745E-08 2.22504E-07 1.05624E-04
 6.00000E+01 1.62056E-07 1.32527E-06 4.50884E-04
 6.50000E+01 3.26296E-07 2.67680E-06 4.98597E-04
 7.00000E+01 4.97970E-07 3.82545E-06 3.51490E-04
 7.50000E+01 7.09846E-07 4.98448E-06 2.60188E-04
 8.00000E+01 1.14391E-06 7.70841E-06 2.62445E-04
 9.00000E+01 2.06066E-06 1.34459E-05 2.86674E-04
 1.00000E+02 3.59152E-06 2.30143E-05 3.56036E-04
 1.10000E+02 3.99160E-06 2.49312E-05 2.60714E-04
 1.20000E+02 4.36645E-06 2.67287E-05 1.47659E-04
 1.30000E+02 4.03832E-06 2.42739E-05 7.23259E-05
 1.40000E+02 4.04098E-06 2.39750E-05 4.67804E-05
 1.50000E+02 3.91982E-06 2.30809E-05 3.25574E-05
 1.60000E+02 3.82567E-06 2.25178E-05 2.44483E-05
 1.80000E+02 3.52891E-06 2.10380E-05 1.77936E-05
 2.00000E+02 3.28249E-06 1.94457E-05 1.51643E-05
