# p + 181Ta   : (p,3npta)         Total
# Q-value    =-3.07202E+01
# E-threshold= 3.08912E+01
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.70000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.90000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 4.50000E+01 2.15434E-20 7.01017E-20 2.62561E-16
 5.00000E+01 1.22965E-14 4.72328E-14 1.12482E-11
 5.50000E+01 2.25608E-11 1.02310E-10 7.64278E-09
 6.00000E+01 4.24231E-09 2.24769E-08 1.16870E-06
 6.50000E+01 1.54446E-07 9.97311E-07 4.88560E-05
 7.00000E+01 1.43180E-06 1.09686E-05 5.22488E-04
 7.50000E+01 5.18521E-06 4.30035E-05 1.78954E-03
 8.00000E+01 9.90253E-06 8.32811E-05 2.22711E-03
 9.00000E+01 1.67044E-05 1.33294E-04 1.45175E-03
 1.00000E+02 3.06197E-05 2.17286E-04 1.66306E-03
 1.10000E+02 5.65065E-05 3.85729E-04 2.46844E-03
 1.20000E+02 7.62303E-05 5.07623E-04 2.70108E-03
 1.30000E+02 9.89781E-05 6.52356E-04 2.49979E-03
 1.40000E+02 1.10519E-04 7.33360E-04 1.83279E-03
 1.50000E+02 1.12695E-04 7.26945E-04 1.19359E-03
 1.60000E+02 1.10539E-04 7.06072E-04 7.96294E-04
 1.80000E+02 1.06983E-04 6.96917E-04 4.10489E-04
 2.00000E+02 8.89418E-05 5.75449E-04 2.58809E-04
