# p + 181Ta   : (p,pta)           Total
# Q-value    =-8.86850E+00
# E-threshold= 8.91787E+00
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.70000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.90000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.60000E+01 1.01358E-20 1.35260E-20 2.43917E-15
 2.80000E+01 4.97491E-18 7.30305E-18 8.00258E-13
 3.00000E+01 5.05810E-16 8.15670E-16 5.21576E-11
 3.50000E+01 8.25031E-13 1.82920E-12 3.90977E-08
 4.00000E+01 2.96785E-11 7.96727E-11 1.16863E-06
 4.50000E+01 2.51806E-10 1.35671E-09 9.80778E-06
 5.00000E+01 2.33993E-09 1.94196E-08 7.13945E-05
 5.50000E+01 8.88664E-09 7.30524E-08 1.05323E-04
 6.00000E+01 1.61219E-08 1.29535E-07 6.20412E-05
 6.50000E+01 2.11571E-08 1.49954E-07 3.12509E-05
 7.00000E+01 3.22397E-08 2.08682E-07 2.40535E-05
 7.50000E+01 4.73665E-08 2.95673E-07 2.31948E-05
 8.00000E+01 7.28260E-08 4.49124E-07 2.89772E-05
 9.00000E+01 1.12303E-07 6.94527E-07 3.16462E-05
 1.00000E+02 1.52827E-07 9.31388E-07 2.20417E-05
 1.10000E+02 1.58156E-07 9.38015E-07 8.83491E-06
 1.20000E+02 1.67664E-07 9.81520E-07 4.45572E-06
 1.30000E+02 1.50147E-07 8.86994E-07 2.62749E-06
 1.40000E+02 1.45494E-07 8.59264E-07 1.76330E-06
 1.50000E+02 1.37745E-07 8.12263E-07 1.24776E-06
 1.60000E+02 1.30485E-07 7.67451E-07 9.41241E-07
 1.80000E+02 1.30435E-07 7.63065E-07 7.31038E-07
 2.00000E+02 1.19560E-07 7.04724E-07 6.08152E-07
