# p + 181Ta   : (p,2nta)          Total
# Q-value    =-1.77858E+01
# E-threshold= 1.78848E+01
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.70000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.90000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.80000E+01 8.53675E-20 5.29596E-22 0.00000E+00
 3.00000E+01 1.23157E-15 1.53766E-17 0.00000E+00
 3.50000E+01 6.91387E-09 1.40122E-08 9.99991E-01
 4.00000E+01 1.91856E-06 5.09368E-06 9.90180E-01
 4.50000E+01 6.66125E-05 2.44112E-04 9.02382E-01
 5.00000E+01 7.17908E-04 3.59881E-03 6.48219E-01
 5.50000E+01 2.49563E-03 1.49318E-02 2.74911E-01
 6.00000E+01 4.04001E-03 2.65063E-02 1.20193E-01
 6.50000E+01 4.76342E-03 3.22717E-02 7.50456E-02
 7.00000E+01 4.99442E-03 3.49757E-02 6.47367E-02
 7.50000E+01 4.75982E-03 3.22686E-02 5.73447E-02
 8.00000E+01 4.30693E-03 2.80072E-02 5.09378E-02
 9.00000E+01 3.36115E-03 2.11909E-02 3.22379E-02
 1.00000E+02 2.56142E-03 1.45677E-02 1.05045E-02
 1.10000E+02 1.80180E-03 9.67275E-03 3.39539E-03
 1.20000E+02 1.31739E-03 6.93374E-03 1.47152E-03
 1.30000E+02 1.04379E-03 5.40665E-03 7.22706E-04
 1.40000E+02 7.94606E-04 4.17772E-03 4.17600E-04
 1.50000E+02 6.22215E-04 3.25433E-03 2.84632E-04
 1.60000E+02 5.25037E-04 2.74967E-03 2.07085E-04
 1.80000E+02 3.64147E-04 1.87263E-03 1.14590E-04
 2.00000E+02 2.34336E-04 1.22172E-03 6.61414E-05
