# p + 181Ta   : (p,ta)            Total
# Q-value    =-3.35847E+00
# E-threshold= 3.37716E+00
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+01 2.19203E-19 5.41342E-22 0.00000E+00
 1.50000E+01 4.53491E-17 3.05251E-19 0.00000E+00
 1.60000E+01 3.01867E-15 3.99323E-17 0.00000E+00
 1.70000E+01 1.12791E-13 2.23497E-15 0.00000E+00
 1.80000E+01 8.64488E-12 1.09030E-11 1.00000E+00
 1.90000E+01 1.29375E-10 1.75927E-10 1.00000E+00
 2.00000E+01 1.25010E-09 1.79768E-09 1.00000E+00
 2.20000E+01 3.15719E-08 5.01058E-08 9.99998E-01
 2.40000E+01 1.66950E-07 2.85041E-07 9.99801E-01
 2.60000E+01 4.17375E-07 8.41985E-07 9.91701E-01
 2.80000E+01 9.01445E-07 2.46367E-06 9.10958E-01
 3.00000E+01 1.87304E-06 6.44886E-06 7.61779E-01
 3.50000E+01 1.16592E-05 5.87402E-05 3.39121E-01
 4.00000E+01 4.21072E-05 2.53142E-04 7.58687E-02
 4.50000E+01 6.67118E-05 4.41473E-04 2.35197E-02
 5.00000E+01 7.29548E-05 5.22255E-04 1.25085E-02
 5.50000E+01 7.39239E-05 5.51451E-04 9.96979E-03
 6.00000E+01 6.79214E-05 5.13199E-04 8.69025E-03
 6.50000E+01 5.89368E-05 4.36784E-04 7.22178E-03
 7.00000E+01 4.91696E-05 3.61712E-04 4.81699E-03
 7.50000E+01 4.23700E-05 2.95206E-04 2.03577E-03
 8.00000E+01 3.45008E-05 2.17320E-04 5.82946E-04
 9.00000E+01 1.94442E-05 1.08212E-04 7.50153E-05
 1.00000E+02 1.35163E-05 7.32129E-05 2.13571E-05
 1.10000E+02 9.15629E-06 4.90696E-05 8.65980E-06
 1.20000E+02 7.12285E-06 3.80165E-05 4.58705E-06
 1.30000E+02 5.08442E-06 2.72308E-05 2.69657E-06
 1.40000E+02 3.76097E-06 2.00380E-05 1.77036E-06
 1.50000E+02 3.00276E-06 1.58850E-05 1.29874E-06
 1.60000E+02 2.46368E-06 1.30678E-05 9.91885E-07
 1.80000E+02 1.45551E-06 7.73203E-06 5.62026E-07
 2.00000E+02 9.91411E-07 5.23938E-06 3.49780E-07
