# p + 181Ta   : (p,n2da)          Total
# Q-value    =-2.03658E+01
# E-threshold= 2.04792E+01
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.70000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.90000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+01 3.91021E-19 9.65255E-19 1.64090E-15
 4.50000E+01 3.79019E-15 1.40336E-14 1.14452E-11
 5.00000E+01 1.53623E-12 7.13905E-12 4.68244E-09
 5.50000E+01 1.06846E-10 6.32836E-10 3.51854E-07
 6.00000E+01 1.72784E-09 1.27985E-08 4.80732E-06
 6.50000E+01 8.81434E-09 6.93801E-08 1.34688E-05
 7.00000E+01 1.81692E-08 1.42982E-07 1.28246E-05
 7.50000E+01 2.37330E-08 1.73353E-07 8.69913E-06
 8.00000E+01 2.47232E-08 1.75259E-07 5.67220E-06
 9.00000E+01 2.26492E-08 1.53598E-07 3.15090E-06
 1.00000E+02 1.90450E-08 1.25513E-07 1.88798E-06
 1.10000E+02 1.51474E-08 9.70769E-08 9.89364E-07
 1.20000E+02 1.16996E-08 7.32014E-08 3.95641E-07
 1.30000E+02 8.84315E-09 5.42317E-08 1.58380E-07
 1.40000E+02 6.99338E-09 4.22409E-08 8.09588E-08
 1.50000E+02 5.71502E-09 3.41137E-08 4.74681E-08
 1.60000E+02 4.80569E-09 2.86859E-08 3.07112E-08
 1.80000E+02 3.28764E-09 1.97632E-08 1.65771E-08
 2.00000E+02 2.27707E-09 1.35897E-08 1.05195E-08
