# p + 181Ta   : (p,2n2da)         Total
# Q-value    =-2.67329E+01
# E-threshold= 2.68817E+01
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.70000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.90000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 4.50000E+01 2.37329E-18 4.73914E-18 3.07799E-15
 5.00000E+01 1.45874E-14 3.66082E-14 1.09944E-11
 5.50000E+01 3.40743E-12 1.21226E-11 2.45302E-09
 6.00000E+01 3.71509E-10 2.06699E-09 2.92589E-07
 6.50000E+01 8.27386E-09 5.71340E-08 6.84011E-06
 7.00000E+01 5.46247E-08 4.20600E-07 3.32187E-05
 7.50000E+01 1.50576E-07 1.20440E-06 5.10925E-05
 8.00000E+01 2.14359E-07 1.64407E-06 3.99651E-05
 9.00000E+01 2.04116E-07 1.36330E-06 1.77529E-05
 1.00000E+02 1.76783E-07 1.12658E-06 1.06173E-05
 1.10000E+02 1.44054E-07 9.04949E-07 7.10940E-06
 1.20000E+02 1.25414E-07 7.56298E-07 4.07690E-06
 1.30000E+02 1.17935E-07 6.99401E-07 2.30428E-06
 1.40000E+02 9.55889E-08 5.58737E-07 1.08319E-06
 1.50000E+02 8.25803E-08 4.85305E-07 6.26702E-07
 1.60000E+02 6.61660E-08 3.86485E-07 3.66901E-07
 1.80000E+02 4.32022E-08 2.47353E-07 1.55755E-07
 2.00000E+02 2.87325E-08 1.62323E-07 8.72062E-08
