# p + 181Ta   : (p,2da)           Total
# Q-value    =-1.29012E+01
# E-threshold= 1.29730E+01
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.70000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.90000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.50000E+01 1.25776E-17 2.24809E-17 5.96045E-13
 4.00000E+01 2.18319E-14 5.12550E-14 8.59655E-10
 4.50000E+01 6.94976E-13 2.22536E-12 2.70692E-08
 5.00000E+01 8.40029E-12 5.40268E-11 2.56304E-07
 5.50000E+01 9.10363E-11 7.12525E-10 1.07895E-06
 6.00000E+01 3.86756E-10 3.16077E-09 1.48834E-06
 6.50000E+01 6.33688E-10 4.85465E-09 9.36016E-07
 7.00000E+01 6.32567E-10 4.48831E-09 4.71947E-07
 7.50000E+01 6.40534E-10 4.35834E-09 3.13661E-07
 8.00000E+01 6.14762E-10 4.02573E-09 2.44611E-07
 9.00000E+01 5.28489E-10 3.41583E-09 1.48925E-07
 1.00000E+02 4.31701E-10 2.72542E-09 6.22627E-08
 1.10000E+02 3.48483E-10 2.12425E-09 1.94670E-08
 1.20000E+02 2.88426E-10 1.73029E-09 7.66503E-09
 1.30000E+02 2.28154E-10 1.38028E-09 3.99256E-09
 1.40000E+02 1.85632E-10 1.12016E-09 2.24975E-09
 1.50000E+02 1.60015E-10 9.68040E-10 1.44949E-09
 1.60000E+02 1.25824E-10 7.56133E-10 9.07620E-10
 1.80000E+02 9.87939E-11 5.92774E-10 5.53704E-10
 2.00000E+02 7.15398E-11 4.32494E-10 3.63894E-10
