# p + 181Ta   : (p,2na)           Total
# Q-value    =-5.14058E+00
# E-threshold= 5.16919E+00
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 2.25518E-13 1.03351E-18 0.00000E+00
 1.20000E+01 1.07047E-09 1.13689E-09 9.99985E-01
 1.30000E+01 1.24928E-07 1.47937E-07 9.99981E-01
 1.40000E+01 4.04342E-06 5.20444E-06 9.99975E-01
 1.50000E+01 5.08553E-05 7.17286E-05 9.99966E-01
 1.60000E+01 3.42785E-04 5.38079E-04 9.99953E-01
 1.70000E+01 1.04760E-03 1.83235E-03 9.99917E-01
 1.80000E+01 1.57108E-03 3.00221E-03 9.99826E-01
 1.90000E+01 2.94653E-03 6.23310E-03 9.99805E-01
 2.00000E+01 8.03195E-03 1.84733E-02 9.99882E-01
 2.20000E+01 6.51862E-02 1.65268E-01 9.99957E-01
 2.40000E+01 2.95101E-01 8.60667E-01 9.99965E-01
 2.60000E+01 9.43736E-01 3.20349E+00 9.99965E-01
 2.80000E+01 2.13490E+00 8.50489E+00 9.99961E-01
 3.00000E+01 3.73941E+00 1.73839E+01 9.99955E-01
 3.50000E+01 7.17666E+00 4.42412E+01 9.99925E-01
 4.00000E+01 7.64504E+00 5.47781E+01 9.99847E-01
 4.50000E+01 6.66359E+00 5.12399E+01 9.98054E-01
 5.00000E+01 5.23070E+00 4.18694E+01 9.36972E-01
 5.50000E+01 3.92795E+00 3.14985E+01 6.97232E-01
 6.00000E+01 2.96308E+00 2.36997E+01 4.29268E-01
 6.50000E+01 2.29721E+00 1.77981E+01 2.47525E-01
 7.00000E+01 1.72228E+00 1.24108E+01 1.38757E-01
 7.50000E+01 1.30245E+00 8.76948E+00 8.15443E-02
 8.00000E+01 9.73469E-01 6.18593E+00 5.16227E-02
 9.00000E+01 5.98618E-01 3.51361E+00 2.50055E-02
 1.00000E+02 3.92626E-01 2.20418E+00 1.42205E-02
 1.10000E+02 2.75732E-01 1.49902E+00 9.04135E-03
 1.20000E+02 2.00503E-01 1.07122E+00 6.22522E-03
 1.30000E+02 1.53833E-01 8.10630E-01 4.61432E-03
 1.40000E+02 1.22343E-01 6.38674E-01 3.56407E-03
 1.50000E+02 9.89237E-02 5.13416E-01 2.87121E-03
 1.60000E+02 8.14729E-02 4.19577E-01 2.33838E-03
 1.80000E+02 5.91628E-02 3.02430E-01 1.68074E-03
 2.00000E+02 4.35757E-02 2.22252E-01 1.26666E-03
