# p + 181Ta   : (p,n2pa)          Total
# Q-value    =-1.15280E+01
# E-threshold= 1.15921E+01
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.70000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.90000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.80000E+01 1.53286E-18 2.61660E-18 8.84262E-08
 3.00000E+01 1.68388E-16 2.84579E-16 7.93292E-07
 3.50000E+01 2.30908E-12 4.77626E-12 1.17079E-04
 4.00000E+01 2.02758E-09 5.11134E-09 6.13805E-03
 4.50000E+01 2.27959E-07 8.00369E-07 9.81692E-02
 5.00000E+01 5.37023E-06 2.44280E-05 4.56635E-01
 5.50000E+01 3.87641E-05 1.88124E-04 8.00237E-01
 6.00000E+01 1.19433E-04 5.93357E-04 9.30175E-01
 6.50000E+01 2.22524E-04 1.12307E-03 9.62629E-01
 7.00000E+01 3.21623E-04 1.63886E-03 9.75346E-01
 7.50000E+01 4.00497E-04 2.04700E-03 9.79571E-01
 8.00000E+01 4.72902E-04 2.41779E-03 9.40614E-01
 9.00000E+01 5.60528E-04 2.75529E-03 3.96933E-01
 1.00000E+02 5.99930E-04 2.87374E-03 9.38174E-02
 1.10000E+02 6.34509E-04 3.03384E-03 3.73448E-02
 1.20000E+02 6.27073E-04 3.00454E-03 2.10877E-02
 1.30000E+02 6.32396E-04 3.05186E-03 1.47904E-02
 1.40000E+02 6.32768E-04 3.04019E-03 1.09690E-02
 1.50000E+02 6.17486E-04 2.98020E-03 9.04033E-03
 1.60000E+02 5.86125E-04 2.83669E-03 7.71548E-03
 1.80000E+02 5.55123E-04 2.67787E-03 6.16943E-03
 2.00000E+02 5.22905E-04 2.52762E-03 5.14188E-03
