# p + 181Ta   : (p,3n2pa)         Total
# Q-value    =-2.48149E+01
# E-threshold= 2.49531E+01
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.70000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.90000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+01 4.14968E-18 8.99204E-18 1.74139E-14
 4.50000E+01 7.44023E-14 2.34704E-13 2.24672E-10
 5.00000E+01 1.65441E-10 6.17931E-10 5.04269E-07
 5.50000E+01 6.19582E-08 2.63432E-07 2.04034E-04
 6.00000E+01 5.24896E-06 2.69244E-05 1.46041E-02
 6.50000E+01 1.03944E-04 5.43579E-04 1.58832E-01
 7.00000E+01 6.34706E-04 3.48929E-03 4.48005E-01
 7.50000E+01 1.85298E-03 1.06080E-02 6.79196E-01
 8.00000E+01 3.47808E-03 2.03769E-02 7.97971E-01
 9.00000E+01 6.38070E-03 3.69724E-02 8.87667E-01
 1.00000E+02 8.83376E-03 5.06568E-02 8.75712E-01
 1.10000E+02 9.68332E-03 5.47838E-02 6.32473E-01
 1.20000E+02 1.00412E-02 5.59893E-02 3.39559E-01
 1.30000E+02 1.06967E-02 5.81358E-02 1.91578E-01
 1.40000E+02 1.10376E-02 5.88408E-02 1.27777E-01
 1.50000E+02 1.14441E-02 6.06610E-02 9.50525E-02
 1.60000E+02 1.17692E-02 6.21840E-02 7.52124E-02
 1.80000E+02 1.05949E-02 5.66881E-02 5.34222E-02
 2.00000E+02 9.41839E-03 5.01395E-02 4.35106E-02
