# p + 181Ta   : (p,2pa)           Total
# Q-value    =-4.66088E+00
# E-threshold= 4.68682E+00
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.70000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.90000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.20000E+01 7.60454E-19 8.63411E-21 0.00000E+00
 2.40000E+01 1.76742E-16 2.29495E-18 0.00000E+00
 2.60000E+01 1.46453E-14 2.14160E-16 0.00000E+00
 2.80000E+01 2.18949E-12 2.95216E-12 9.99995E-01
 3.00000E+01 2.51639E-11 3.63807E-11 9.99993E-01
 3.50000E+01 2.08777E-09 4.25195E-09 9.99991E-01
 4.00000E+01 5.27504E-08 1.59190E-07 9.99989E-01
 4.50000E+01 5.48460E-07 2.22476E-06 9.99986E-01
 5.00000E+01 2.59701E-06 1.21714E-05 9.99979E-01
 5.50000E+01 6.17290E-06 3.06806E-05 9.99962E-01
 6.00000E+01 1.02321E-05 5.22565E-05 9.99878E-01
 6.50000E+01 1.32202E-05 6.81459E-05 9.98079E-01
 7.00000E+01 1.68904E-05 8.80627E-05 9.23212E-01
 7.50000E+01 1.83773E-05 9.56058E-05 4.15704E-01
 8.00000E+01 2.07484E-05 1.07067E-04 8.69565E-02
 9.00000E+01 2.28833E-05 1.18152E-04 1.09063E-02
 1.00000E+02 2.50126E-05 1.29845E-04 3.48687E-03
 1.10000E+02 2.46298E-05 1.28078E-04 1.78144E-03
 1.20000E+02 2.45459E-05 1.27601E-04 1.18581E-03
 1.30000E+02 2.54617E-05 1.33043E-04 9.15732E-04
 1.40000E+02 2.36664E-05 1.23635E-04 7.13042E-04
 1.50000E+02 2.28285E-05 1.18906E-04 6.16552E-04
 1.60000E+02 2.23456E-05 1.16596E-04 5.56982E-04
 1.80000E+02 2.06025E-05 1.07742E-04 4.59260E-04
 2.00000E+02 1.84366E-05 9.60449E-05 3.85168E-04
