# p + 181Ta   : (p,a)             Total
# Q-value    = 8.86098E+00
# E-threshold= 0.00000E+00
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 6.81458E-11 9.75856E-11 1.00000E+00
 3.00000E+00 2.64806E-09 4.08813E-09 9.99967E-01
 4.00000E+00 6.12479E-08 1.02316E-07 9.99801E-01
 5.00000E+00 9.87259E-07 1.78455E-06 9.99631E-01
 6.00000E+00 1.17580E-05 2.31200E-05 9.99586E-01
 7.00000E+00 9.77210E-05 2.14422E-04 9.99645E-01
 8.00000E+00 5.71573E-04 1.38770E-03 9.99740E-01
 9.00000E+00 2.63582E-03 6.85657E-03 9.99839E-01
 1.00000E+01 1.05615E-02 2.88021E-02 9.99916E-01
 1.10000E+01 3.53546E-02 1.03511E-01 9.99956E-01
 1.20000E+01 9.81364E-02 3.13133E-01 9.99975E-01
 1.30000E+01 2.26702E-01 7.94848E-01 9.99983E-01
 1.40000E+01 4.74885E-01 1.74788E+00 9.99988E-01
 1.50000E+01 8.29382E-01 3.32413E+00 9.99991E-01
 1.60000E+01 1.33637E+00 5.73597E+00 9.99992E-01
 1.70000E+01 2.07856E+00 9.41540E+00 9.99994E-01
 1.80000E+01 3.29222E+00 1.55123E+01 9.99995E-01
 1.90000E+01 6.21384E+00 3.00709E+01 9.99997E-01
 2.00000E+01 1.69433E+01 8.33932E+01 9.99999E-01
 2.20000E+01 1.95710E+01 1.00302E+02 9.99999E-01
 2.40000E+01 5.89950E+00 3.14825E+01 9.99995E-01
 2.60000E+01 4.05487E+00 2.21235E+01 9.99950E-01
 2.80000E+01 3.10776E+00 1.71623E+01 9.99077E-01
 3.00000E+01 2.45729E+00 1.35769E+01 9.89598E-01
 3.50000E+01 1.52398E+00 8.31558E+00 6.93189E-01
 4.00000E+01 9.34169E-01 5.31502E+00 2.68208E-01
 4.50000E+01 6.76734E-01 3.82247E+00 1.19167E-01
 5.00000E+01 4.40413E-01 2.52264E+00 5.06918E-02
 5.50000E+01 3.01109E-01 1.63941E+00 2.37281E-02
 6.00000E+01 1.93958E-01 1.06324E+00 1.17101E-02
 6.50000E+01 1.44267E-01 7.48015E-01 7.24999E-03
 7.00000E+01 1.02278E-01 5.44021E-01 4.47132E-03
 7.50000E+01 8.24428E-02 4.20195E-01 3.26971E-03
 8.00000E+01 6.43671E-02 3.28790E-01 2.34836E-03
 9.00000E+01 4.25210E-02 2.14840E-01 1.42708E-03
 1.00000E+02 3.12840E-02 1.58073E-01 9.86893E-04
 1.10000E+02 2.28445E-02 1.14423E-01 7.11405E-04
 1.20000E+02 1.81918E-02 9.12795E-02 5.60174E-04
 1.30000E+02 1.44126E-02 7.18358E-02 4.50694E-04
 1.40000E+02 1.19643E-02 5.98073E-02 3.76596E-04
 1.50000E+02 1.01490E-02 5.07102E-02 3.24319E-04
 1.60000E+02 8.49113E-03 4.22329E-02 2.78007E-04
 1.80000E+02 6.70913E-03 3.25385E-02 2.28158E-04
 2.00000E+02 4.62268E-03 2.33120E-02 1.68482E-04
