# p + 181Ta   : (p,nd)            Total
# Q-value    =-1.19991E+01
# E-threshold= 1.20659E+01
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.50000E+01 4.07895E-11 1.92830E-11 1.28050E-08
 1.60000E+01 7.40664E-08 5.18678E-08 3.78476E-06
 1.70000E+01 9.83852E-06 1.01960E-05 1.28401E-04
 1.80000E+01 2.85626E-04 3.57180E-04 1.37024E-03
 1.90000E+01 3.54342E-03 5.39318E-03 8.06148E-03
 2.00000E+01 2.23965E-02 4.27095E-02 2.82920E-02
 2.20000E+01 3.57109E-01 8.11536E-01 1.60782E-01
 2.40000E+01 1.66262E+00 4.67074E+00 2.78698E-01
 2.60000E+01 4.24899E+00 1.42504E+01 3.04363E-01
 2.80000E+01 7.77616E+00 3.02470E+01 2.77730E-01
 3.00000E+01 1.17060E+01 5.12427E+01 2.46341E-01
 3.50000E+01 1.92770E+01 9.55594E+01 1.81839E-01
 4.00000E+01 2.23894E+01 1.14505E+02 1.50632E-01
 4.50000E+01 2.24688E+01 1.14081E+02 1.35395E-01
 5.00000E+01 2.15640E+01 1.07708E+02 1.24398E-01
 5.50000E+01 2.05733E+01 1.00598E+02 1.16216E-01
 6.00000E+01 1.86792E+01 9.03522E+01 1.06878E-01
 6.50000E+01 1.72094E+01 8.23072E+01 9.89811E-02
 7.00000E+01 1.58244E+01 7.52139E+01 9.11292E-02
 7.50000E+01 1.44880E+01 6.73239E+01 8.58485E-02
 8.00000E+01 1.33738E+01 6.18121E+01 8.09260E-02
 9.00000E+01 1.02035E+01 4.59103E+01 6.59635E-02
 1.00000E+02 7.88728E+00 3.51436E+01 5.45314E-02
 1.10000E+02 6.38218E+00 2.81024E+01 4.57598E-02
 1.20000E+02 5.01351E+00 2.16823E+01 3.92006E-02
 1.30000E+02 4.23089E+00 1.81919E+01 3.41425E-02
 1.40000E+02 3.38369E+00 1.44467E+01 2.99004E-02
 1.50000E+02 2.93891E+00 1.24135E+01 2.64858E-02
 1.60000E+02 2.48379E+00 1.04716E+01 2.36795E-02
 1.80000E+02 1.86886E+00 7.84324E+00 1.94072E-02
 2.00000E+02 1.42734E+00 5.94814E+00 1.63967E-02
