# p + 181Ta   : (p,npd)           Total
# Q-value    =-1.72101E+01
# E-threshold= 1.73059E+01
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.70000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.90000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.20000E+01 1.57230E-19 8.29581E-20 8.03381E-21
 2.40000E+01 1.82012E-14 1.17768E-14 3.08520E-15
 2.60000E+01 9.95568E-12 8.65228E-12 2.45511E-12
 2.80000E+01 9.44297E-10 1.20647E-09 3.03571E-10
 3.00000E+01 3.77359E-08 6.22351E-08 1.51970E-08
 3.50000E+01 1.32898E-05 3.10871E-05 6.04493E-06
 4.00000E+01 8.65413E-04 2.31519E-03 2.48468E-04
 4.50000E+01 1.18499E-02 3.65482E-02 2.08667E-03
 5.00000E+01 5.93109E-02 2.08735E-01 6.82671E-03
 5.50000E+01 1.53321E-01 5.91270E-01 1.20821E-02
 6.00000E+01 2.53150E-01 1.01334E+00 1.52839E-02
 6.50000E+01 3.63729E-01 1.48535E+00 1.82788E-02
 7.00000E+01 4.44940E-01 1.83358E+00 1.94517E-02
 7.50000E+01 5.18071E-01 2.15641E+00 2.05469E-02
 8.00000E+01 5.70790E-01 2.38890E+00 2.08247E-02
 9.00000E+01 5.78813E-01 2.43089E+00 1.94260E-02
 1.00000E+02 5.92577E-01 2.50981E+00 1.86936E-02
 1.10000E+02 5.57360E-01 2.35582E+00 1.73568E-02
 1.20000E+02 5.35274E-01 2.27323E+00 1.64825E-02
 1.30000E+02 4.99923E-01 2.11453E+00 1.56330E-02
 1.40000E+02 4.76056E-01 2.01887E+00 1.49847E-02
 1.50000E+02 4.52955E-01 1.92592E+00 1.44746E-02
 1.60000E+02 4.30739E-01 1.82168E+00 1.41028E-02
 1.80000E+02 4.01847E-01 1.71093E+00 1.36656E-02
 2.00000E+02 3.66308E-01 1.54690E+00 1.33508E-02
