# p + 181Ta   : (p,3npd)          Total
# Q-value    =-3.12117E+01
# E-threshold= 3.13854E+01
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.70000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.90000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.50000E+01 3.71199E-16 3.16997E-16 5.17192E-17
 4.00000E+01 2.82442E-09 3.82168E-09 3.69388E-10
 4.50000E+01 2.22248E-06 5.81859E-06 3.32876E-07
 5.00000E+01 2.06893E-04 9.35324E-04 3.70606E-05
 5.50000E+01 2.92283E-03 1.62331E-02 5.18818E-04
 6.00000E+01 1.76995E-02 1.03057E-01 2.56417E-03
 6.50000E+01 7.99232E-02 4.60743E-01 8.61176E-03
 7.00000E+01 2.20686E-01 1.27822E+00 1.77797E-02
 7.50000E+01 4.24670E-01 2.41393E+00 2.65879E-02
 8.00000E+01 6.39479E-01 3.59963E+00 3.39113E-02
 9.00000E+01 9.77121E-01 5.28851E+00 4.08164E-02
 1.00000E+02 1.22368E+00 6.47271E+00 4.43204E-02
 1.10000E+02 1.34208E+00 6.97008E+00 4.40072E-02
 1.20000E+02 1.37417E+00 7.06993E+00 4.26652E-02
 1.30000E+02 1.34909E+00 6.88167E+00 4.04668E-02
 1.40000E+02 1.33106E+00 6.75200E+00 3.87762E-02
 1.50000E+02 1.27925E+00 6.48380E+00 3.71295E-02
 1.60000E+02 1.24445E+00 6.26935E+00 3.57172E-02
 1.80000E+02 1.17965E+00 5.92229E+00 3.35124E-02
 2.00000E+02 1.09072E+00 5.47066E+00 3.17051E-02
