# p + 181Ta   : (p,pd)            Total
# Q-value    =-1.11111E+01
# E-threshold= 1.11730E+01
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.60000E+01 9.88660E-20 6.60755E-20 2.82583E-11
 1.70000E+01 1.10034E-18 7.29891E-19 1.77692E-11
 1.80000E+01 1.86601E-16 1.09059E-16 2.67294E-10
 1.90000E+01 2.52487E-14 1.76439E-14 4.51925E-09
 2.00000E+01 1.10444E-12 8.90006E-13 3.22452E-08
 2.20000E+01 2.76553E-10 2.77742E-10 3.90758E-07
 2.40000E+01 1.19143E-08 1.64173E-08 1.49428E-06
 2.60000E+01 1.56563E-07 2.91000E-07 3.08646E-06
 2.80000E+01 1.02102E-06 2.47470E-06 4.77999E-06
 3.00000E+01 5.35460E-06 1.55450E-05 9.93017E-06
 3.50000E+01 6.11456E-04 2.03622E-03 3.33160E-04
 4.00000E+01 7.67877E-03 2.94300E-02 1.92060E-03
 4.50000E+01 3.00250E-02 1.21898E-01 4.05574E-03
 5.00000E+01 6.32889E-02 2.62802E-01 5.58831E-03
 5.50000E+01 9.72653E-02 4.06703E-01 6.71445E-03
 6.00000E+01 1.23183E-01 5.17446E-01 7.12350E-03
 6.50000E+01 1.45820E-01 6.12239E-01 7.51293E-03
 7.00000E+01 1.58433E-01 6.66691E-01 7.38656E-03
 7.50000E+01 1.69985E-01 7.15978E-01 7.49611E-03
 8.00000E+01 1.74806E-01 7.36440E-01 7.27449E-03
 9.00000E+01 1.64784E-01 6.95769E-01 6.49175E-03
 1.00000E+02 1.55583E-01 6.56935E-01 6.03774E-03
 1.10000E+02 1.42466E-01 6.02020E-01 5.46338E-03
 1.20000E+02 1.32780E-01 5.60886E-01 5.21863E-03
 1.30000E+02 1.23511E-01 5.22286E-01 4.87449E-03
 1.40000E+02 1.15174E-01 4.86595E-01 4.72858E-03
 1.50000E+02 1.08396E-01 4.58192E-01 4.56092E-03
 1.60000E+02 1.03573E-01 4.38364E-01 4.45082E-03
 1.80000E+02 9.39841E-02 3.96793E-01 4.37137E-03
 2.00000E+02 8.80854E-02 3.72954E-01 4.32082E-03
