# p + 181Ta   : (p,2nd)           Total
# Q-value    =-1.98297E+01
# E-threshold= 1.99401E+01
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.70000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.90000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.20000E+01 1.19870E-13 1.53995E-13 9.22033E-12
 2.40000E+01 5.06759E-07 3.32007E-07 2.24483E-06
 2.60000E+01 3.57040E-04 5.42156E-04 3.88218E-04
 2.80000E+01 2.24901E-02 4.42266E-02 1.08753E-02
 3.00000E+01 2.99305E-01 6.80765E-01 7.43553E-02
 3.50000E+01 4.93056E+00 1.53719E+01 2.08208E-01
 4.00000E+01 1.29153E+01 5.07568E+01 1.90759E-01
 4.50000E+01 1.90763E+01 8.18093E+01 1.63885E-01
 5.00000E+01 2.14603E+01 9.48604E+01 1.50806E-01
 5.50000E+01 2.18703E+01 9.75326E+01 1.44743E-01
 6.00000E+01 2.12114E+01 9.34209E+01 1.33240E-01
 6.50000E+01 2.04577E+01 8.82911E+01 1.26207E-01
 7.00000E+01 1.86108E+01 8.03794E+01 1.19788E-01
 7.50000E+01 1.77532E+01 7.54661E+01 1.13054E-01
 8.00000E+01 1.61774E+01 6.84826E+01 1.05058E-01
 9.00000E+01 1.26848E+01 5.26208E+01 8.59648E-02
 1.00000E+02 1.01642E+01 4.16182E+01 7.28236E-02
 1.10000E+02 7.95507E+00 3.26677E+01 6.11707E-02
 1.20000E+02 6.47779E+00 2.59460E+01 5.14042E-02
 1.30000E+02 5.33409E+00 2.15690E+01 4.46812E-02
 1.40000E+02 4.48417E+00 1.76719E+01 3.92635E-02
 1.50000E+02 3.82651E+00 1.52596E+01 3.51646E-02
 1.60000E+02 3.26630E+00 1.27919E+01 3.16180E-02
 1.80000E+02 2.51380E+00 9.87418E+00 2.63186E-02
 2.00000E+02 1.98246E+00 7.68122E+00 2.24528E-02
