# p + 181Ta   : (p,n2pd)          Total
# Q-value    =-2.45505E+01
# E-threshold= 2.46872E+01
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.70000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.90000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+01 8.14688E-15 1.05655E-14 7.21172E-11
 4.50000E+01 5.52381E-11 9.21078E-11 4.92829E-07
 5.00000E+01 1.57484E-08 3.54603E-08 1.00200E-04
 5.50000E+01 6.52940E-07 1.92396E-06 1.06247E-03
 6.00000E+01 7.26601E-06 2.42468E-05 1.47862E-03
 6.50000E+01 4.62989E-05 1.50042E-04 1.60231E-03
 7.00000E+01 1.98799E-04 6.49610E-04 2.47612E-03
 7.50000E+01 5.76530E-04 1.93408E-03 3.62463E-03
 8.00000E+01 1.27283E-03 4.40811E-03 5.05760E-03
 9.00000E+01 3.07304E-03 1.09670E-02 6.97815E-03
 1.00000E+02 5.32600E-03 1.94313E-02 8.71060E-03
 1.10000E+02 7.11768E-03 2.60351E-02 9.58644E-03
 1.20000E+02 8.36390E-03 3.07751E-02 9.76414E-03
 1.30000E+02 9.14436E-03 3.38874E-02 9.75076E-03
 1.40000E+02 9.38399E-03 3.46463E-02 9.53155E-03
 1.50000E+02 9.49971E-03 3.51007E-02 9.30922E-03
 1.60000E+02 9.90145E-03 3.70585E-02 9.12880E-03
 1.80000E+02 9.63201E-03 3.56995E-02 8.64306E-03
 2.00000E+02 9.44917E-03 3.53405E-02 8.22123E-03
