# p + 181Ta   : (p,2pd)           Total
# Q-value    =-1.85252E+01
# E-threshold= 1.86283E+01
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.70000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.90000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.50000E+01 2.03406E-15 3.87076E-15 9.40686E-07
 4.00000E+01 5.11026E-12 1.60113E-11 1.66725E-05
 4.50000E+01 1.02006E-09 4.45639E-09 7.24094E-05
 5.00000E+01 4.34319E-08 2.09377E-07 7.42205E-05
 5.50000E+01 5.37824E-07 2.50569E-06 7.95537E-05
 6.00000E+01 4.25293E-06 1.96115E-05 1.41772E-04
 6.50000E+01 2.55321E-05 1.19989E-04 3.47216E-04
 7.00000E+01 7.74512E-05 3.70028E-04 6.24189E-04
 7.50000E+01 1.70342E-04 8.26246E-04 9.57579E-04
 8.00000E+01 2.79378E-04 1.36546E-03 1.25006E-03
 9.00000E+01 5.05148E-04 2.48827E-03 1.68672E-03
 1.00000E+02 7.38406E-04 3.65648E-03 2.06954E-03
 1.10000E+02 9.01109E-04 4.47155E-03 2.23654E-03
 1.20000E+02 9.88900E-04 4.90747E-03 2.30715E-03
 1.30000E+02 1.03572E-03 5.15244E-03 2.27512E-03
 1.40000E+02 1.05828E-03 5.27403E-03 2.27043E-03
 1.50000E+02 1.03752E-03 5.16375E-03 2.15137E-03
 1.60000E+02 1.04953E-03 5.23382E-03 2.12411E-03
 1.80000E+02 1.00589E-03 5.01085E-03 1.97271E-03
 2.00000E+02 9.75703E-04 4.86956E-03 1.89734E-03
