# p + 181Ta   : (p,d)             Total
# Q-value    =-5.35218E+00
# E-threshold= 5.38198E+00
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 4.23224E-14 0.00000E+00 0.00000E+00
 9.00000E+00 5.25885E-09 9.20094E-09 6.11878E-01
 1.00000E+01 3.65363E-07 9.32192E-07 2.99656E-01
 1.10000E+01 5.15554E-05 1.38332E-04 5.51887E-01
 1.20000E+01 1.55199E-03 4.27588E-03 6.53783E-01
 1.30000E+01 1.91183E-02 5.40129E-02 7.06122E-01
 1.40000E+01 1.25192E-01 3.62709E-01 7.39042E-01
 1.50000E+01 5.09511E-01 1.51784E+00 7.38667E-01
 1.60000E+01 1.43553E+00 4.41903E+00 7.05982E-01
 1.70000E+01 3.12077E+00 9.80439E+00 6.55617E-01
 1.80000E+01 5.38064E+00 1.77601E+01 5.92734E-01
 1.90000E+01 8.08264E+00 2.81162E+01 5.33937E-01
 2.00000E+01 1.10529E+01 4.05713E+01 4.71459E-01
 2.20000E+01 1.71083E+01 6.88602E+01 3.80043E-01
 2.40000E+01 2.24120E+01 9.59776E+01 3.13836E-01
 2.60000E+01 2.61740E+01 1.18184E+02 2.66340E-01
 2.80000E+01 2.83696E+01 1.32722E+02 2.31672E-01
 3.00000E+01 2.95479E+01 1.41596E+02 2.06677E-01
 3.50000E+01 2.92259E+01 1.44322E+02 1.67663E-01
 4.00000E+01 2.70900E+01 1.34919E+02 1.44374E-01
 4.50000E+01 2.43933E+01 1.21535E+02 1.28430E-01
 5.00000E+01 2.08795E+01 1.05514E+02 1.11585E-01
 5.50000E+01 1.87038E+01 9.48332E+01 1.00200E-01
 6.00000E+01 1.66359E+01 8.34375E+01 9.11245E-02
 6.50000E+01 1.48331E+01 7.43985E+01 8.46719E-02
 7.00000E+01 1.33021E+01 6.64087E+01 7.80569E-02
 7.50000E+01 1.19327E+01 5.93581E+01 7.34318E-02
 8.00000E+01 1.07143E+01 5.29516E+01 6.83828E-02
 9.00000E+01 7.17021E+00 3.69794E+01 5.02674E-02
 1.00000E+02 5.60649E+00 2.85641E+01 4.21230E-02
 1.10000E+02 4.43959E+00 2.22275E+01 3.59622E-02
 1.20000E+02 3.56513E+00 1.77532E+01 3.08766E-02
 1.30000E+02 2.87635E+00 1.42021E+01 2.67645E-02
 1.40000E+02 2.41250E+00 1.19081E+01 2.35856E-02
 1.50000E+02 1.99407E+00 9.75917E+00 2.08901E-02
 1.60000E+02 1.69423E+00 8.26994E+00 1.87455E-02
 1.80000E+02 1.26687E+00 6.15827E+00 1.54175E-02
 2.00000E+02 9.60220E-01 4.63103E+00 1.30226E-02
