# p + 181Ta   : (p,ndh)           Total
# Q-value    =-2.39054E+01
# E-threshold= 2.40384E+01
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.70000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.90000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+01 1.25909E-15 1.92290E-15 1.38648E-12
 4.50000E+01 1.51223E-11 3.86333E-11 9.93229E-09
 5.00000E+01 6.16490E-09 2.22181E-08 3.49346E-06
 5.50000E+01 2.28927E-07 1.14653E-06 1.29265E-04
 6.00000E+01 1.70920E-06 1.05887E-05 7.81064E-04
 6.50000E+01 4.60924E-06 2.91420E-05 9.56273E-04
 7.00000E+01 6.97343E-06 4.01616E-05 3.77261E-04
 7.50000E+01 7.08488E-06 3.65043E-05 1.12416E-04
 8.00000E+01 6.56967E-06 3.20614E-05 4.37863E-05
 9.00000E+01 5.72112E-06 2.74826E-05 1.41748E-05
 1.00000E+02 4.56480E-06 2.17446E-05 6.57428E-06
 1.10000E+02 3.64109E-06 1.74518E-05 3.83539E-06
 1.20000E+02 2.73509E-06 1.30297E-05 2.36170E-06
 1.30000E+02 2.14109E-06 1.02339E-05 1.61875E-06
 1.40000E+02 1.73433E-06 8.31913E-06 1.15748E-06
 1.50000E+02 1.34166E-06 6.40722E-06 8.38150E-07
 1.60000E+02 1.05330E-06 5.01790E-06 6.32001E-07
 1.80000E+02 7.11929E-07 3.40484E-06 3.88199E-07
 2.00000E+02 4.68538E-07 2.23450E-06 2.55715E-07
