# p + 181Ta   : (p,dh)            Total
# Q-value    =-1.68325E+01
# E-threshold= 1.69262E+01
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.70000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.90000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.50000E+01 1.80919E-15 2.81708E-15 2.23677E-11
 4.00000E+01 3.71782E-12 8.21960E-12 3.29106E-08
 4.50000E+01 6.08198E-10 2.05083E-09 5.42628E-06
 5.00000E+01 1.73810E-08 8.04162E-08 1.10587E-04
 5.50000E+01 1.01056E-07 5.21414E-07 1.64439E-04
 6.00000E+01 2.09130E-07 1.08229E-06 4.25574E-05
 6.50000E+01 2.09095E-07 9.86388E-07 7.23636E-06
 7.00000E+01 2.03095E-07 9.24858E-07 2.52964E-06
 7.50000E+01 1.88914E-07 8.50555E-07 1.18770E-06
 8.00000E+01 1.68301E-07 7.55752E-07 6.68746E-07
 9.00000E+01 1.36867E-07 6.13903E-07 3.10794E-07
 1.00000E+02 1.05802E-07 4.75338E-07 1.73038E-07
 1.10000E+02 7.91845E-08 3.54430E-07 1.06649E-07
 1.20000E+02 5.83722E-08 2.61295E-07 6.81445E-08
 1.30000E+02 4.72064E-08 2.11635E-07 5.03369E-08
 1.40000E+02 3.49114E-08 1.56035E-07 3.54604E-08
 1.50000E+02 2.72169E-08 1.21672E-07 2.66712E-08
 1.60000E+02 2.32942E-08 1.04698E-07 2.14764E-08
 1.80000E+02 1.39317E-08 6.21833E-08 1.25013E-08
 2.00000E+02 9.70074E-09 4.34384E-08 8.44011E-09
