# p + 181Ta   : (p,nh)            Total
# Q-value    =-1.17166E+01
# E-threshold= 1.17819E+01
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.70000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.80000E+01 6.18725E-15 5.32542E-15 1.87935E-15
 1.90000E+01 1.31574E-12 1.56971E-12 2.11743E-13
 2.00000E+01 9.56935E-11 1.28401E-10 5.64787E-12
 2.20000E+01 5.68131E-08 8.78335E-08 2.90291E-09
 2.40000E+01 5.49188E-06 9.33333E-06 9.30901E-07
 2.60000E+01 1.82669E-04 3.33092E-04 4.50470E-05
 2.80000E+01 2.84769E-03 5.51461E-03 9.15467E-04
 3.00000E+01 2.58056E-02 5.35767E-02 1.03924E-02
 3.50000E+01 6.74159E-01 1.89380E+00 3.06644E-01
 4.00000E+01 2.48827E+00 9.47415E+00 7.14402E-01
 4.50000E+01 4.10611E+00 1.77940E+01 7.23048E-01
 5.00000E+01 4.50967E+00 2.01321E+01 5.19065E-01
 5.50000E+01 4.10838E+00 1.82387E+01 3.23751E-01
 6.00000E+01 3.51081E+00 1.54426E+01 2.11964E-01
 6.50000E+01 2.94859E+00 1.27862E+01 1.48178E-01
 7.00000E+01 2.46870E+00 1.06903E+01 1.07926E-01
 7.50000E+01 2.05350E+00 8.85855E+00 8.14425E-02
 8.00000E+01 1.73327E+00 7.47558E+00 6.32365E-02
 9.00000E+01 1.21732E+00 5.22544E+00 4.08553E-02
 1.00000E+02 8.97351E-01 3.86631E+00 2.83081E-02
 1.10000E+02 6.51739E-01 2.79397E+00 2.02959E-02
 1.20000E+02 4.93805E-01 2.12502E+00 1.52056E-02
 1.30000E+02 3.72427E-01 1.59413E+00 1.16461E-02
 1.40000E+02 2.90292E-01 1.24656E+00 9.13745E-03
 1.50000E+02 2.28402E-01 9.83623E-01 7.29879E-03
 1.60000E+02 1.80391E-01 7.73226E-01 5.90616E-03
 1.80000E+02 1.19958E-01 5.18983E-01 4.07942E-03
 2.00000E+02 8.04921E-02 3.46522E-01 2.93369E-03
