# p + 181Ta   : (p,nph)           Total
# Q-value    =-1.90570E+01
# E-threshold= 1.91631E+01
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.70000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.90000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+01 2.93923E-19 2.34065E-19 9.19801E-15
 3.50000E+01 1.57911E-12 2.09776E-12 1.95231E-08
 4.00000E+01 9.39951E-09 1.56893E-08 8.32056E-05
 4.50000E+01 2.19078E-06 4.74245E-06 1.95459E-02
 5.00000E+01 5.18862E-05 1.60183E-04 3.30127E-01
 5.50000E+01 2.91519E-04 1.11027E-03 4.74360E-01
 6.00000E+01 8.31994E-04 3.10841E-03 1.69309E-01
 6.50000E+01 2.21554E-03 7.41322E-03 7.66753E-02
 7.00000E+01 5.26797E-03 1.79867E-02 6.56147E-02
 7.50000E+01 9.37783E-03 3.29601E-02 5.89583E-02
 8.00000E+01 1.35313E-02 4.84574E-02 5.37667E-02
 9.00000E+01 1.85981E-02 6.80065E-02 4.22318E-02
 1.00000E+02 2.14520E-02 7.96964E-02 3.50844E-02
 1.10000E+02 2.13937E-02 7.95629E-02 2.88141E-02
 1.20000E+02 2.00841E-02 7.50112E-02 2.34465E-02
 1.30000E+02 1.85532E-02 6.96744E-02 1.97836E-02
 1.40000E+02 1.67068E-02 6.25124E-02 1.69695E-02
 1.50000E+02 1.51864E-02 5.68432E-02 1.48819E-02
 1.60000E+02 1.46766E-02 5.55964E-02 1.35313E-02
 1.80000E+02 1.27794E-02 4.78810E-02 1.14673E-02
 2.00000E+02 1.18709E-02 4.48422E-02 1.03282E-02
