# p + 181Ta   : (p,3nph)          Total
# Q-value    =-3.24179E+01
# E-threshold= 3.25984E+01
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.70000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.90000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 4.50000E+01 6.88271E-16 1.28283E-15 2.42655E-13
 5.00000E+01 1.00826E-10 2.38434E-10 1.72872E-08
 5.50000E+01 2.03259E-07 5.64505E-07 2.74126E-05
 6.00000E+01 2.51705E-05 9.24470E-05 3.22045E-03
 6.50000E+01 4.44713E-04 1.98681E-03 5.44925E-02
 7.00000E+01 2.21659E-03 1.13738E-02 2.17153E-01
 7.50000E+01 6.12294E-03 3.02875E-02 2.94191E-01
 8.00000E+01 1.28507E-02 5.68345E-02 2.17133E-01
 9.00000E+01 3.68337E-02 1.52548E-01 1.42103E-01
 1.00000E+02 7.66821E-02 3.18196E-01 1.21166E-01
 1.10000E+02 1.05937E-01 4.51616E-01 1.00192E-01
 1.20000E+02 1.25111E-01 5.36757E-01 8.05700E-02
 1.30000E+02 1.25212E-01 5.39457E-01 6.64075E-02
 1.40000E+02 1.22667E-01 5.30183E-01 5.77416E-02
 1.50000E+02 1.17862E-01 5.01501E-01 5.09769E-02
 1.60000E+02 1.15881E-01 4.96171E-01 4.66542E-02
 1.80000E+02 1.02310E-01 4.40406E-01 3.95057E-02
 2.00000E+02 9.79678E-02 4.22439E-01 3.45640E-02
