# p + 181Ta   : (p,ph)            Total
# Q-value    =-1.30317E+01
# E-threshold= 1.31043E+01
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.70000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.90000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.40000E+01 1.42537E-20 6.11331E-24 0.00000E+00
 2.60000E+01 1.34553E-17 1.25392E-20 0.00000E+00
 2.80000E+01 2.52058E-15 2.84426E-18 0.00000E+00
 3.00000E+01 1.05143E-12 1.95177E-12 1.00000E+00
 3.50000E+01 2.16230E-09 5.87971E-09 9.99992E-01
 4.00000E+01 3.02663E-07 1.20903E-06 9.87457E-01
 4.50000E+01 6.40230E-06 3.26777E-05 4.54470E-01
 5.00000E+01 2.90208E-05 1.54616E-04 4.95935E-02
 5.50000E+01 7.98085E-05 3.83598E-04 1.18051E-02
 6.00000E+01 2.91155E-04 1.37910E-03 9.70564E-03
 6.50000E+01 7.92853E-04 3.81840E-03 1.07821E-02
 7.00000E+01 1.32973E-03 6.46865E-03 1.07164E-02
 7.50000E+01 1.83699E-03 9.03155E-03 1.03267E-02
 8.00000E+01 2.15678E-03 1.06497E-02 9.65037E-03
 9.00000E+01 2.38528E-03 1.18348E-02 7.96458E-03
 1.00000E+02 2.44238E-03 1.21718E-02 6.84528E-03
 1.10000E+02 2.27751E-03 1.13627E-02 5.65275E-03
 1.20000E+02 2.02359E-03 1.00935E-02 4.72112E-03
 1.30000E+02 1.80585E-03 9.02570E-03 3.96685E-03
 1.40000E+02 1.62693E-03 8.14473E-03 3.49041E-03
 1.50000E+02 1.43987E-03 7.19832E-03 2.98566E-03
 1.60000E+02 1.34820E-03 6.75262E-03 2.72858E-03
 1.80000E+02 1.16701E-03 5.83991E-03 2.28869E-03
 2.00000E+02 1.07711E-03 5.39951E-03 2.09454E-03
