# p + 181Ta   : (p,nth)           Total
# Q-value    =-2.39361E+01
# E-threshold= 2.40693E+01
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.70000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.90000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+01 2.18873E-16 3.50803E-16 3.94364E-13
 4.50000E+01 4.22341E-12 1.12057E-11 1.48899E-09
 5.00000E+01 2.47001E-09 8.94821E-09 4.23498E-07
 5.50000E+01 1.35419E-07 6.53265E-07 1.82634E-05
 6.00000E+01 1.34025E-06 8.03584E-06 1.71479E-04
 6.50000E+01 4.31159E-06 2.80737E-05 5.28317E-04
 7.00000E+01 7.10451E-06 4.74917E-05 6.96007E-04
 7.50000E+01 8.91610E-06 5.67998E-05 4.28395E-04
 8.00000E+01 9.34109E-06 5.39740E-05 1.57833E-04
 9.00000E+01 7.56741E-06 3.91736E-05 2.91949E-05
 1.00000E+02 6.15034E-06 3.11059E-05 9.71815E-06
 1.10000E+02 4.65318E-06 2.34373E-05 4.40087E-06
 1.20000E+02 3.79067E-06 1.90776E-05 2.44116E-06
 1.30000E+02 2.82480E-06 1.42278E-05 1.49816E-06
 1.40000E+02 2.22475E-06 1.11947E-05 1.04723E-06
 1.50000E+02 1.77661E-06 8.85684E-06 7.68409E-07
 1.60000E+02 1.48403E-06 7.43443E-06 5.97474E-07
 1.80000E+02 9.03618E-07 4.51971E-06 3.48921E-07
 2.00000E+02 6.26691E-07 3.13268E-06 2.21103E-07
