# p + 181Ta   : (p,2nth)          Total
# Q-value    =-3.16028E+01
# E-threshold= 3.17787E+01
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.70000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.90000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 4.50000E+01 1.40031E-18 3.70303E-18 1.88294E-15
 5.00000E+01 4.68060E-13 1.54464E-12 8.24565E-11
 5.50000E+01 1.28255E-09 4.70788E-09 7.83748E-08
 6.00000E+01 2.01703E-07 9.46699E-07 8.15093E-06
 6.50000E+01 3.67437E-06 2.15377E-05 1.33561E-04
 7.00000E+01 1.76460E-05 1.18239E-04 6.10381E-04
 7.50000E+01 3.80154E-05 2.70271E-04 1.26263E-03
 8.00000E+01 5.36513E-05 3.85257E-04 1.44309E-03
 9.00000E+01 6.50636E-05 4.26129E-04 5.83583E-04
 1.00000E+02 5.17907E-05 3.05183E-04 1.45180E-04
 1.10000E+02 4.10913E-05 2.34328E-04 5.35773E-05
 1.20000E+02 3.32106E-05 1.88877E-04 2.77493E-05
 1.30000E+02 2.53666E-05 1.43360E-04 1.63163E-05
 1.40000E+02 2.07927E-05 1.17140E-04 1.13308E-05
 1.50000E+02 1.71529E-05 9.73363E-05 8.21158E-06
 1.60000E+02 1.40569E-05 7.98968E-05 6.21318E-06
 1.80000E+02 9.51143E-06 5.40064E-05 3.43549E-06
 2.00000E+02 6.67121E-06 3.76868E-05 2.14321E-06
