# p + 181Ta   : (p,th)            Total
# Q-value    =-1.76481E+01
# E-threshold= 1.77463E+01
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.70000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.90000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.50000E+01 8.05872E-17 1.92882E-16 3.22221E-13
 4.00000E+01 5.98470E-13 2.08133E-12 6.59020E-10
 4.50000E+01 2.31226E-10 1.17381E-09 1.51869E-07
 5.00000E+01 1.18205E-08 8.06829E-08 6.69829E-06
 5.50000E+01 1.02061E-07 7.81158E-07 5.76292E-05
 6.00000E+01 2.63514E-07 2.08166E-06 1.20420E-04
 6.50000E+01 3.73157E-07 2.81739E-06 7.74185E-05
 7.00000E+01 4.06594E-07 2.73581E-06 2.19966E-05
 7.50000E+01 2.92750E-07 1.73729E-06 4.64507E-06
 8.00000E+01 2.08278E-07 1.14591E-06 1.38815E-06
 9.00000E+01 1.53685E-07 8.18003E-07 3.80775E-07
 1.00000E+02 1.12030E-07 5.89144E-07 1.61347E-07
 1.10000E+02 8.73025E-08 4.59496E-07 9.19612E-08
 1.20000E+02 6.33530E-08 3.32005E-07 5.47041E-08
 1.30000E+02 4.90398E-08 2.57224E-07 3.70761E-08
 1.40000E+02 3.97297E-08 2.08896E-07 2.65155E-08
 1.50000E+02 3.00725E-08 1.57611E-07 1.87866E-08
 1.60000E+02 2.35842E-08 1.23396E-07 1.41511E-08
 1.80000E+02 1.60051E-08 8.39860E-08 8.72723E-09
 2.00000E+02 1.02716E-08 5.36895E-08 5.60594E-09
