# p + 181Ta   : (p,2nh)           Total
# Q-value    =-1.93426E+01
# E-threshold= 1.94502E+01
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.70000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.90000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.60000E+01 4.08121E-14 1.65234E-14 5.34824E-15
 2.80000E+01 2.14101E-10 1.86127E-10 2.67482E-11
 3.00000E+01 7.15509E-08 7.76207E-08 9.01395E-09
 3.50000E+01 6.83296E-04 9.15859E-04 1.06467E-04
 4.00000E+01 1.13502E-01 1.81108E-01 2.41729E-02
 4.50000E+01 1.12370E+00 2.59377E+00 2.59429E-01
 5.00000E+01 3.05695E+00 9.44523E+00 5.60983E-01
 5.50000E+01 4.49160E+00 1.58417E+01 6.00827E-01
 6.00000E+01 4.88082E+00 1.78942E+01 4.74906E-01
 6.50000E+01 4.52195E+00 1.63964E+01 3.35767E-01
 7.00000E+01 3.96366E+00 1.40490E+01 2.38595E-01
 7.50000E+01 3.41039E+00 1.18631E+01 1.76345E-01
 8.00000E+01 2.92336E+00 1.00868E+01 1.35967E-01
 9.00000E+01 2.16800E+00 7.34299E+00 8.65791E-02
 1.00000E+02 1.60318E+00 5.40366E+00 5.97725E-02
 1.10000E+02 1.20237E+00 4.01996E+00 4.20644E-02
 1.20000E+02 9.09308E-01 3.02727E+00 3.10741E-02
 1.30000E+02 7.07859E-01 2.35961E+00 2.37661E-02
 1.40000E+02 5.53278E-01 1.83269E+00 1.86095E-02
 1.50000E+02 4.39401E-01 1.45527E+00 1.47812E-02
 1.60000E+02 3.53399E-01 1.17559E+00 1.20057E-02
 1.80000E+02 2.40249E-01 7.96918E-01 8.33443E-03
 2.00000E+02 1.71349E-01 5.69461E-01 6.10164E-03
