# p + 181Ta   : (p,n2ph)          Total
# Q-value    =-2.52385E+01
# E-threshold= 2.53790E+01
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.70000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.90000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 4.50000E+01 5.42179E-20 8.55232E-20 9.88535E-14
 5.00000E+01 5.30842E-16 1.05631E-15 2.04401E-10
 5.50000E+01 5.96206E-12 1.67892E-11 9.65808E-07
 6.00000E+01 6.55840E-10 2.28324E-09 6.40884E-05
 6.50000E+01 1.49531E-08 6.11056E-08 1.12890E-03
 7.00000E+01 1.42773E-07 5.79617E-07 7.80384E-03
 7.50000E+01 8.46790E-07 3.41935E-06 1.91548E-02
 8.00000E+01 4.37650E-06 1.84932E-05 1.83419E-02
 9.00000E+01 4.12225E-05 1.86134E-04 1.96468E-02
 1.00000E+02 1.32982E-04 6.10135E-04 1.85383E-02
 1.10000E+02 2.50546E-04 1.16923E-03 1.81216E-02
 1.20000E+02 3.35936E-04 1.57914E-03 1.62290E-02
 1.30000E+02 4.09254E-04 1.94910E-03 1.47189E-02
 1.40000E+02 4.79914E-04 2.29179E-03 1.44593E-02
 1.50000E+02 5.22008E-04 2.49130E-03 1.40984E-02
 1.60000E+02 5.55046E-04 2.65805E-03 1.38350E-02
 1.80000E+02 5.69173E-04 2.74105E-03 1.26877E-02
 2.00000E+02 5.44610E-04 2.61378E-03 1.13777E-02
