# p + 181Ta   : (p,2ph)           Total
# Q-value    =-1.96721E+01
# E-threshold= 1.97816E+01
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.70000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.90000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+01 3.64101E-20 5.02339E-23 0.00000E+00
 4.50000E+01 1.76571E-16 3.68944E-19 0.00000E+00
 5.00000E+01 3.99365E-14 1.03592E-16 0.00000E+00
 5.50000E+01 4.37297E-11 1.77192E-10 5.83887E-01
 6.00000E+01 6.97835E-10 3.24870E-09 3.89211E-02
 6.50000E+01 4.09821E-09 1.83359E-08 3.64545E-03
 7.00000E+01 4.27839E-08 1.91882E-07 2.17314E-03
 7.50000E+01 1.90690E-07 8.67135E-07 1.51402E-03
 8.00000E+01 5.73860E-07 2.67212E-06 1.27721E-03
 9.00000E+01 2.66091E-06 1.26757E-05 1.46030E-03
 1.00000E+02 7.06515E-06 3.38595E-05 1.78760E-03
 1.10000E+02 1.13315E-05 5.44853E-05 1.83044E-03
 1.20000E+02 1.36056E-05 6.58792E-05 1.68203E-03
 1.30000E+02 1.47994E-05 7.15233E-05 1.50442E-03
 1.40000E+02 1.60974E-05 7.80270E-05 1.48651E-03
 1.50000E+02 1.66598E-05 8.07388E-05 1.42103E-03
 1.60000E+02 1.76266E-05 8.53425E-05 1.39816E-03
 1.80000E+02 1.70241E-05 8.27892E-05 1.28671E-03
 2.00000E+02 1.65960E-05 8.03808E-05 1.21269E-03
