# p + 181Ta   : (p,h)             Total
# Q-value    =-5.61764E+00
# E-threshold= 5.64891E+00
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 2.69755E-18 0.00000E+00 0.00000E+00
 1.30000E+01 1.82748E-15 0.00000E+00 0.00000E+00
 1.40000E+01 1.53420E-12 2.54326E-12 1.00000E+00
 1.50000E+01 1.07738E-10 1.91252E-10 1.00000E+00
 1.60000E+01 3.49865E-09 6.64414E-09 1.00000E+00
 1.70000E+01 6.19236E-08 1.25459E-07 1.00000E+00
 1.80000E+01 6.98113E-07 1.50355E-06 1.00000E+00
 1.90000E+01 5.58694E-06 1.27353E-05 1.00000E+00
 2.00000E+01 3.42513E-05 8.21973E-05 1.00000E+00
 2.20000E+01 7.07734E-04 1.85870E-03 9.99999E-01
 2.40000E+01 7.97317E-03 2.27199E-02 9.99987E-01
 2.60000E+01 5.07156E-02 1.62057E-01 9.99797E-01
 2.80000E+01 2.13249E-01 7.16246E-01 9.98342E-01
 3.00000E+01 5.33819E-01 1.99174E+00 9.89974E-01
 3.50000E+01 1.53065E+00 6.64720E+00 8.33997E-01
 4.00000E+01 1.88184E+00 8.57183E+00 4.70681E-01
 4.50000E+01 1.65522E+00 7.42616E+00 2.23586E-01
 5.00000E+01 1.43238E+00 6.01372E+00 1.26477E-01
 5.50000E+01 1.07794E+00 4.62040E+00 7.44125E-02
 6.00000E+01 9.26472E-01 3.82171E+00 5.35768E-02
 6.50000E+01 6.93519E-01 2.96623E+00 3.57315E-02
 7.00000E+01 6.03550E-01 2.47234E+00 2.81390E-02
 7.50000E+01 4.65280E-01 1.98118E+00 2.05182E-02
 8.00000E+01 4.04209E-01 1.65662E+00 1.68210E-02
 9.00000E+01 2.79600E-01 1.14929E+00 1.10150E-02
 1.00000E+02 1.97512E-01 8.13390E-01 7.66489E-03
 1.10000E+02 1.42697E-01 5.89399E-01 5.47226E-03
 1.20000E+02 1.05241E-01 4.35506E-01 4.13626E-03
 1.30000E+02 7.97929E-02 3.31586E-01 3.14910E-03
 1.40000E+02 6.08373E-02 2.53259E-01 2.49772E-03
 1.50000E+02 4.71535E-02 1.96898E-01 1.98406E-03
 1.60000E+02 3.72926E-02 1.56357E-01 1.60257E-03
 1.80000E+02 2.37587E-02 9.98738E-02 1.10506E-03
 2.00000E+02 1.59307E-02 6.78898E-02 7.81444E-04
