# p + 181Ta   : (p,np)            Total
# Q-value    =-7.57676E+00
# E-threshold= 7.61893E+00
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 3.91580E-14 0.00000E+00 0.00000E+00
 9.00000E+00 3.33575E-09 6.70052E-09 3.88122E-01
 1.00000E+01 8.53913E-07 2.02461E-06 7.00344E-01
 1.10000E+01 4.18611E-05 1.05767E-04 4.48112E-01
 1.20000E+01 8.21871E-04 2.06925E-03 3.46216E-01
 1.30000E+01 7.95673E-03 2.00030E-02 2.93876E-01
 1.40000E+01 4.42053E-02 1.08879E-01 2.60956E-01
 1.50000E+01 1.80258E-01 4.42678E-01 2.61330E-01
 1.60000E+01 5.97843E-01 1.50139E+00 2.94015E-01
 1.70000E+01 1.63926E+00 4.30847E+00 3.44379E-01
 1.80000E+01 3.69697E+00 1.03349E+01 4.07261E-01
 1.90000E+01 7.05509E+00 2.12035E+01 4.66058E-01
 2.00000E+01 1.23907E+01 3.98240E+01 5.28522E-01
 2.20000E+01 2.79062E+01 1.01607E+02 6.19907E-01
 2.40000E+01 4.89937E+01 1.96896E+02 6.86059E-01
 2.60000E+01 7.20815E+01 3.11666E+02 7.33482E-01
 2.80000E+01 9.40527E+01 4.28798E+02 7.68055E-01
 3.00000E+01 1.13360E+02 5.36506E+02 7.92914E-01
 3.50000E+01 1.44909E+02 7.14026E+02 8.31314E-01
 4.00000E+01 1.60270E+02 7.97847E+02 8.54141E-01
 4.50000E+01 1.65262E+02 8.20880E+02 8.70099E-01
 5.00000E+01 1.65990E+02 8.22683E+02 8.87093E-01
 5.50000E+01 1.67744E+02 8.27493E+02 8.98639E-01
 6.00000E+01 1.65721E+02 8.13509E+02 9.07750E-01
 6.50000E+01 1.60164E+02 7.83742E+02 9.14265E-01
 7.00000E+01 1.56935E+02 7.67853E+02 9.20899E-01
 7.50000E+01 1.50389E+02 7.31879E+02 9.25468E-01
 8.00000E+01 1.45790E+02 7.06672E+02 9.30487E-01
 9.00000E+01 1.35322E+02 6.51820E+02 9.48687E-01
 1.00000E+02 1.27356E+02 6.12404E+02 9.56855E-01
 1.10000E+02 1.18866E+02 5.69539E+02 9.62854E-01
 1.20000E+02 1.11746E+02 5.34605E+02 9.67806E-01
 1.30000E+02 1.04446E+02 4.96632E+02 9.71868E-01
 1.40000E+02 9.97363E+01 4.75035E+02 9.75061E-01
 1.50000E+02 9.33396E+01 4.41638E+02 9.77839E-01
 1.60000E+02 8.85842E+01 4.19066E+02 9.80124E-01
 1.80000E+02 8.08208E+01 3.81913E+02 9.83566E-01
 2.00000E+02 7.26923E+01 3.42258E+02 9.85857E-01
