# p + 181Ta   : (p,2np)           Total
# Q-value    =-1.42236E+01
# E-threshold= 1.43028E+01
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.50000E+01 9.27151E-08 4.83937E-08 2.91059E-05
 1.60000E+01 2.09305E-06 2.97036E-06 1.06954E-04
 1.70000E+01 5.26507E-06 7.50291E-06 6.87137E-05
 1.80000E+01 3.03846E-05 3.36449E-05 1.45764E-04
 1.90000E+01 7.30108E-04 9.90413E-04 1.66104E-03
 2.00000E+01 7.39002E-03 1.32252E-02 9.33534E-03
 2.20000E+01 2.06584E-01 4.47306E-01 9.30107E-02
 2.40000E+01 1.70823E+00 4.45417E+00 2.86343E-01
 2.60000E+01 6.53381E+00 2.03386E+01 4.68030E-01
 2.80000E+01 1.68015E+01 6.11310E+01 6.00077E-01
 3.00000E+01 3.24336E+01 1.32708E+02 6.82528E-01
 3.50000E+01 8.38062E+01 4.02218E+02 7.90538E-01
 4.00000E+01 1.23828E+02 6.21685E+02 8.33092E-01
 4.50000E+01 1.41515E+02 7.09843E+02 8.52757E-01
 5.00000E+01 1.50145E+02 7.36902E+02 8.66154E-01
 5.50000E+01 1.55170E+02 7.48166E+02 8.76538E-01
 6.00000E+01 1.55053E+02 7.39543E+02 8.87177E-01
 6.50000E+01 1.55838E+02 7.33694E+02 8.96314E-01
 7.00000E+01 1.57119E+02 7.35171E+02 9.04812E-01
 7.50000E+01 1.53697E+02 7.03758E+02 9.10729E-01
 8.00000E+01 1.51368E+02 6.89498E+02 9.15941E-01
 9.00000E+01 1.44105E+02 6.38685E+02 9.31609E-01
 1.00000E+02 1.36458E+02 5.98502E+02 9.43452E-01
 1.10000E+02 1.32822E+02 5.75250E+02 9.52328E-01
 1.20000E+02 1.22645E+02 5.21442E+02 9.58956E-01
 1.30000E+02 1.19469E+02 5.04245E+02 9.64094E-01
 1.40000E+02 1.09596E+02 4.59880E+02 9.68457E-01
 1.50000E+02 1.07856E+02 4.46842E+02 9.72015E-01
 1.60000E+02 1.02270E+02 4.22606E+02 9.75002E-01
 1.80000E+02 9.43179E+01 3.87399E+02 9.79444E-01
 2.00000E+02 8.55190E+01 3.47990E+02 9.82407E-01
