# p + 181Ta   : (p,p')            Total
# Q-value    = 0.00000E+00
# E-threshold=-0.00000E+00
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 2.39482E-08 2.68003E-08 9.99997E-01
 5.00000E+00 2.21906E-05 2.52900E-05 9.99998E-01
 6.00000E+00 2.82201E-03 3.26983E-03 9.99999E-01
 7.00000E+00 9.94335E-02 1.16975E-01 9.99999E-01
 8.00000E+00 1.32129E+00 1.58094E+00 1.00000E+00
 9.00000E+00 7.49512E+00 9.17209E+00 1.00000E+00
 1.00000E+01 2.16711E+01 2.72033E+01 1.00000E+00
 1.10000E+01 4.22279E+01 5.43243E+01 1.00000E+00
 1.20000E+01 6.88562E+01 9.08201E+01 1.00000E+00
 1.30000E+01 1.01687E+02 1.37967E+02 1.00000E+00
 1.40000E+01 1.36820E+02 1.92388E+02 1.00000E+00
 1.50000E+01 1.68965E+02 2.48695E+02 1.00000E+00
 1.60000E+01 1.95200E+02 3.02848E+02 1.00000E+00
 1.70000E+01 2.15113E+02 3.52490E+02 1.00000E+00
 1.80000E+01 2.30035E+02 3.97395E+02 1.00000E+00
 1.90000E+01 2.42063E+02 4.38784E+02 1.00000E+00
 2.00000E+01 2.52558E+02 4.76559E+02 1.00000E+00
 2.20000E+01 2.69451E+02 5.40438E+02 1.00000E+00
 2.40000E+01 2.78462E+02 5.80325E+02 1.00000E+00
 2.60000E+01 2.81700E+02 6.02563E+02 1.00000E+00
 2.80000E+01 2.80875E+02 6.12652E+02 1.00000E+00
 3.00000E+01 2.76329E+02 6.12790E+02 1.00000E+00
 3.50000E+01 2.62087E+02 5.85732E+02 1.00000E+00
 4.00000E+01 2.55457E+02 5.59682E+02 1.00000E+00
 4.50000E+01 2.51304E+02 5.36820E+02 1.00000E+00
 5.00000E+01 2.52145E+02 5.29078E+02 1.00000E+00
 5.50000E+01 2.49014E+02 5.07191E+02 1.00000E+00
 6.00000E+01 2.43757E+02 4.84304E+02 1.00000E+00
 6.50000E+01 2.36615E+02 4.60269E+02 1.00000E+00
 7.00000E+01 2.26234E+02 4.32260E+02 1.00000E+00
 7.50000E+01 2.15239E+02 4.06443E+02 1.00000E+00
 8.00000E+01 2.02159E+02 3.78284E+02 1.00000E+00
 9.00000E+01 1.75193E+02 3.25031E+02 1.00000E+00
 1.00000E+02 1.48231E+02 2.74939E+02 1.00000E+00
 1.10000E+02 1.23498E+02 2.31078E+02 1.00000E+00
 1.20000E+02 1.01425E+02 1.91870E+02 1.00000E+00
 1.30000E+02 8.27146E+01 1.59249E+02 1.00000E+00
 1.40000E+02 6.69661E+01 1.31754E+02 1.00000E+00
 1.50000E+02 5.41699E+01 1.09655E+02 1.00000E+00
 1.60000E+02 4.38737E+01 9.15323E+01 1.00000E+00
 1.80000E+02 2.91888E+01 6.48749E+01 1.00000E+00
 2.00000E+02 2.05635E+01 4.89177E+01 1.00000E+00
