# p + 181Ta   : (p,ndt)           Total
# Q-value    =-2.27299E+01
# E-threshold= 2.28564E+01
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.70000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.90000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+01 1.59760E-20 1.54065E-20 4.27214E-21
 3.50000E+01 2.01614E-12 3.97077E-12 2.80909E-13
 4.00000E+01 1.68543E-08 5.96780E-08 2.20427E-09
 4.50000E+01 1.36753E-06 7.95098E-06 2.04824E-07
 5.00000E+01 1.38970E-05 1.08846E-04 2.48935E-06
 5.50000E+01 4.05066E-05 3.50418E-04 7.19014E-06
 6.00000E+01 6.14278E-05 5.48037E-04 8.89920E-06
 6.50000E+01 7.23014E-05 6.38702E-04 7.79051E-06
 7.00000E+01 7.30375E-05 6.07687E-04 5.88433E-06
 7.50000E+01 6.73129E-05 5.25614E-04 4.21435E-06
 8.00000E+01 5.85297E-05 4.31924E-04 3.10381E-06
 9.00000E+01 4.38351E-05 2.98870E-04 1.83108E-06
 1.00000E+02 3.28132E-05 2.13925E-04 1.18846E-06
 1.10000E+02 2.43887E-05 1.53823E-04 7.99713E-07
 1.20000E+02 1.84245E-05 1.14236E-04 5.72046E-07
 1.30000E+02 1.41177E-05 8.62343E-05 4.23469E-07
 1.40000E+02 1.14162E-05 6.92671E-05 3.32574E-07
 1.50000E+02 8.91768E-06 5.37856E-05 2.58831E-07
 1.60000E+02 7.27827E-06 4.35713E-05 2.08896E-07
 1.80000E+02 5.04342E-06 2.98823E-05 1.43277E-07
 2.00000E+02 3.43309E-06 2.03381E-05 9.97929E-08
