# p + 181Ta   : (p,npdt)          Total
# Q-value    =-2.94296E+01
# E-threshold= 2.95934E+01
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.70000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.90000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 4.50000E+01 8.32497E-17 1.89110E-16 2.93503E-14
 5.00000E+01 8.44342E-13 2.49674E-12 1.44768E-10
 5.50000E+01 2.30037E-10 9.43304E-10 3.10240E-08
 6.00000E+01 5.85584E-09 3.24297E-08 7.49229E-07
 6.50000E+01 4.14951E-08 2.56698E-07 5.08456E-06
 7.00000E+01 1.38759E-07 8.80134E-07 1.35938E-05
 7.50000E+01 3.51777E-07 2.12347E-06 1.69020E-05
 8.00000E+01 6.89693E-07 3.80905E-06 1.16535E-05
 9.00000E+01 1.29864E-06 6.54109E-06 5.01014E-06
 1.00000E+02 1.94759E-06 9.67422E-06 3.07739E-06
 1.10000E+02 2.24390E-06 1.11438E-05 2.12223E-06
 1.20000E+02 2.54551E-06 1.26602E-05 1.63928E-06
 1.30000E+02 2.47009E-06 1.23241E-05 1.31003E-06
 1.40000E+02 2.47295E-06 1.23366E-05 1.16407E-06
 1.50000E+02 2.44773E-06 1.20993E-05 1.05868E-06
 1.60000E+02 2.47825E-06 1.23085E-05 9.97751E-07
 1.80000E+02 2.16531E-06 1.07245E-05 8.36105E-07
 2.00000E+02 2.05216E-06 1.01469E-05 7.24022E-07
